"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BJZ","Blackrock California Municipal 2018 Term Trust","15.01","96559750.28","n/a","United States","2001","n/a","n/a","http://www.nasdaq.com/symbol/bjz",
"BHK","Blackrock Core Bond Trust","14.05","757788520.3","n/a","United States","2001","n/a","n/a","http://www.nasdaq.com/symbol/bhk",
"BPK","Blackrock Municipal 2018 Term Trust","15.02","238938580.56","n/a","United States","2001","n/a","n/a","http://www.nasdaq.com/symbol/bpk",
"BBK","Blackrock Municipal Bond Trust","15.7607","165827576.2309","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/bbk",
"BLH","Blackrock New York Municipal 2018 Term Trust","14.9699","54386065.8572","n/a","United States","2001","n/a","n/a","http://www.nasdaq.com/symbol/blh",
"BQH","Blackrock New York Municipal Bond Trust","14.8096","41468435.008","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/bqh",
"RQI","Cohen & Steers Quality Income Realty Fund Inc","12.52","1366700753.04","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/rqi",
"EGN","Energen Corporation","53.09","5160198020.75","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egn",
"HLS","HealthSouth Corporation","43.91","4335435759.08","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hls",
"MPW","Medical Properties Trust, Inc.","12.94","4711241525.2","n/a","United States","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mpw",
"PCK","Pimco California Municipal Income Fund II","10.21","326226499.65","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/pck",
"PML","Pimco Municipal Income Fund II","13.16","813336073.48","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/pml",
"PNI","Pimco New York Municipal Income Fund II","12.37","137503113.98","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/pni",
"PHT","Pioneer High Income Trust","9.94","290563803.74","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pht",
"PRA","ProAssurance Corporation","54.3","2900347565.7","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pra",
"RF","Regions Financial Corporation","14.42","17233056383.06","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rf",
"RF^B","Regions Financial Corporation","28.65","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rf^b",
"RF^A","Regions Financial Corporation","25.3749","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rf^a",
"TMK","Torchmark Corporation","78.64","9147429886.16","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/tmk",
"TMK^B","Torchmark Corporation","25.42","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tmk^b",
"TMK^C","Torchmark Corporation","27.06","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tmk^c",
"VMC","Vulcan Materials Company","116.67","15432523666.65","n/a","United States","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/vmc",
"HCC","Warrior Met Coal, Inc.","23.35","1247936313.5","n/a","United States","2017","Energy","Coal Mining","http://www.nasdaq.com/symbol/hcc",
