"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"DEL","Deltic Timber Corporation","86.18","1050272040.44","n/a","United States","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/del",
"DDT","Dillard&#39;s, Inc.","25.68","0","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/ddt",
"DDS","Dillard&#39;s, Inc.","57.53","1669610346.8","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dds",
"EAB","Entergy Arkansas, Inc.","25.261","0","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, Inc.","24.9208","0","n/a","United States","2013","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, Inc.","24.87","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eai",
"EMP","Entergy Mississippi, Inc.","25.01","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, Inc.","25.11","0","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, Inc.","26.2476","0","n/a","United States","2016","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/eno",
"MUR","Murphy Oil Corporation","26.19","4519683543.87","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mur",
"TSN","Tyson Foods, Inc.","65.41","23500373914.59","n/a","United States","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/tsn",
"WMT","Wal-Mart Stores, Inc.","79.53","237572146667.79","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/wmt",
