Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
AVHI,"A V Homes, Inc.",16.6,372764437.4,n/a,United States,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
AXDX,"Accelerate Diagnostics, Inc.",22.7,1255269639,n/a,United States,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
AOBC,American Outdoor Brands Corporation,15.01,810563010.3,n/a,United States,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
AMKR,"Amkor Technology, Inc.",10.06,2407110061,n/a,United States,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
ASYS,"Amtech Systems, Inc.",11.49,167190289.1,n/a,United States,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AAXN,"Axon Enterprise, Inc.",22.645,1196413000,n/a,United States,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn
CVCO,"Cavco Industries, Inc.",139.5,1258212578,n/a,United States,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco
DFNL,Davis Select Financial ETF,22.333,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfnl
DUSA,Davis Select U.S. Equity ETF,21.7,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dusa
DWLD,Davis Select Worldwide ETF,24.43,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwld
MRAM,"Everspin Technologies, Inc.",16.65,211028610.2,n/a,United States,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
FSLR,"First Solar, Inc.",51.42,5369142862,n/a,United States,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr
GWRS,"Global Water Resources, Inc.",9.49,186063464.3,n/a,United States,2016,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/gwrs
LOPE,"Grand Canyon Education, Inc.",85.18,4098464832,n/a,United States,2008,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lope
HTGM,"HTG Molecular Diagnostics, Inc.",1.83,20950650.69,n/a,United States,2015,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/htgm
NSIT,"Insight Enterprises, Inc.",42.83,1532721575,n/a,United States,1995,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/nsit
INSY,"Insys Therapeutics, Inc.",8.825,641547909.8,n/a,United States,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/insy
SNAK,"Inventure Foods, Inc.",4.67,92400311.78,n/a,United States,1996,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/snak
KONA,"Kona Grill, Inc.",4.25,42933614.75,n/a,United States,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/kona
LLNW,"Limelight Networks, Inc.",3.96,432624547.1,n/a,United States,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/llnw
LIVE,Live Ventures Incorporated,10.9,21913501.7,n/a,United States,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/live
MGLN,"Magellan Health, Inc.",83,1965652148,n/a,United States,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/mgln
MCHP,Microchip Technology Incorporated,89.72,20880396444,n/a,United States,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/mchp
MINI,"Mobile Mini, Inc.",32.25,1425085962,n/a,United States,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mini
ON,ON Semiconductor Corporation,17.64,7436387760,n/a,United States,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/on
RIBT,RiceBran Technologies,1.2301,20153312.6,n/a,United States,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ribt
RIBTW,RiceBran Technologies,0.1999,0,n/a,United States,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ribtw
SNES,"SenesTech, Inc.",1.85,19101257.4,n/a,United States,2016,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/snes
SFM,"Sprouts Farmers Market, Inc.",18.75,2542072163,n/a,United States,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm
JYNT,The Joint Corp.,4.26,56140580.4,n/a,United States,2014,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/jynt
PRSC,The Providence Service Corporation,51.87,700329911.2,n/a,United States,2003,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/prsc
TPIC,"TPI Composites, Inc.",21.8,738716718.4,n/a,United States,2016,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tpic
