"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AVT","Avnet, Inc.","38.87","4783481626.69","n/a","United States","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/avt",
"CABO","Cable One, Inc.","721.99","4134008607.47","n/a","United States","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CVNA","Carvana Co.","16.17","0","n/a","United States","2017","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cvna",
"FCX","Freeport-McMoran, Inc.","14.06","20349141790.92","n/a","United States","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/fcx",
"GDDY","GoDaddy Inc.","45.3","7480364356.8","n/a","United States","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/gddy",
"HTA","Healthcare Trust of America, Inc.","29.81","5982012645.4","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hta",
"KNX","Knight Transportation, Inc.","41.02","7284456013.66","n/a","United States","2017","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/knx",
"MTH","Meritage Corporation","40.45","1630955406.9","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mth",
"PNW","Pinnacle West Capital Corporation","86.15","9616453087.2","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/pnw",
"RSG","Republic Services, Inc.","66.26","22313875961.4","n/a","United States","1998","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/rsg",
"SCCO","Southern Copper Corporation","39.11","30233096490.59","n/a","United States","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/scco",
"SRC","Spirit Realty Capital, Inc.","8.44","3868917876.48","n/a","United States","2013","Consumer Services","Building operators","http://www.nasdaq.com/symbol/src",
"STOR","STORE Capital Corporation","25.48","4841635427.72","n/a","United States","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/stor",
"TMHC","Taylor Morrison Home Corporation","20.9","2502718214.7","n/a","United States","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tmhc",
"UTI","Universal Technical Institute Inc","3.16","78234755.44","n/a","United States","2003","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/uti",
"VSM","Versum Materials, Inc.","37.84","4116828947.44","n/a","United States","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/vsm",
"VVI","Viad Corp","58.2","1187819979.6","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vvi",
"IHD","Voya Emerging Markets High Income Dividend Equity Fund","9.54","181517103","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/ihd",
"IID","Voya International High Dividend Equity Income Fund","7.58","63752560.24","n/a","United States","2007","n/a","n/a","http://www.nasdaq.com/symbol/iid",
"PPR","Voya Prime Rate Trust","5.19","767018116.29","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ppr",
