Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
ACM,AECOM,35.54,5569500233,n/a,United States,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",33.89,2545139000,n/a,United States,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
A,"Agilent Technologies, Inc.",65.78,21169846037,n/a,United States,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AL,Air Lease Corporation,41.1,4242014762,n/a,United States,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
ARE^D,"Alexandria Real Estate Equities, Inc.",35.83,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
ARE,"Alexandria Real Estate Equities, Inc.",118.06,11053503269,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
AGN,Allergan plc.,204.65,68415761579,n/a,United States,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AGN^A,Allergan plc.,737.1083,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
AYX,"Alteryx, Inc.",19.23,1129726521,n/a,United States,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ayx
AWR,American States Water Company,51.29,1879509638,n/a,United States,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr
AVD,American Vanguard Corporation,21.75,647798193.8,n/a,United States,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AMN,AMN Healthcare Services Inc,41.15,1973009009,n/a,United States,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/amn
ANH,Anworth Mortgage Asset  Corporation,6.14,598964699.6,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.42,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^C,Anworth Mortgage Asset  Corporation,25.3908,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
ANH^B,Anworth Mortgage Asset  Corporation,29.9391,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ARC,"ARC Document Solutions, Inc.",3.94,182969920,n/a,United States,2004,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/arc
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",16.32,374753287.7,n/a,United States,2012,n/a,n/a,http://www.nasdaq.com/symbol/ardc
ASA,ASA Gold and Precious Metals Limited,11.98,231094200,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asa
AVY,Avery Dennison Corporation,98.76,8729211521,n/a,United States,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/avy
BANC,"Banc of California, Inc.",19.75,994793536.8,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/banc
BANC^D,"Banc of California, Inc.",26.38,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banc^d
BANC^E,"Banc of California, Inc.",27,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banc^e
BANC^C,"Banc of California, Inc.",26.16,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/banc^c
BIO,"Bio-Rad Laboratories, Inc.",228.68,6777612123,n/a,United States,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/bio
BOOT,"Boot Barn Holdings, Inc.",8.68,230822691.7,n/a,United States,2014,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/boot
BOX,"Box, Inc.",18.17,2430512085,n/a,United States,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/box
BPI,"Bridgepoint Education, Inc.",8.97,260919718.8,n/a,United States,2009,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bpi
CAI,"CAI International, Inc.",29.31,564116790.8,n/a,United States,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/cai
CAA,"CalAtlantic Group, Inc.",35.29,3889118393,n/a,United States,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/caa
CWT,California Water  Service Group Holding,38.05,1827100881,n/a,United States,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwt
CALX,"Calix, Inc",4.9,246508533.6,n/a,United States,2010,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/calx
ELY,Callaway Golf Company,14.12,1332530127,n/a,United States,1992,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/ely
CBG,"CBRE Group, Inc.",37.18,12564431442,n/a,United States,2004,Finance,Real Estate,http://www.nasdaq.com/symbol/cbg
