"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ADSW","Advanced Disposal Services, Inc.","24.44","2159453096.32","n/a","United States","2016","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/adsw",
"WAAS","AquaVenture Holdings Limited","14.44","381699812.2","n/a","United States","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/waas",
"ARR","ARMOUR Residential REIT, Inc.","26.36","1087103876.68","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arr",
"ARR^B","ARMOUR Residential REIT, Inc.","25","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arr^b",
"ARR^A","ARMOUR Residential REIT, Inc.","25.42","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arr^a",
"AN","AutoNation, Inc.","47.36","4499200000","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/an",
"RATE","Bankrate, Inc.","13.95","1251237982.05","n/a","United States","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/rate",
"BKU","BankUnited, Inc.","34.31","3664320763.32","n/a","United States","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bku",
"BBX","BBX Capital Corporation","7.41","753415721.76","n/a","United States","2017","Finance","Real Estate","http://www.nasdaq.com/symbol/bbx",
"BKFS","Black Knight Financial Services, Inc.","43.7","6705841868.3","n/a","United States","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bkfs",
"BRO","Brown & Brown, Inc.","47.42","6635047845.08","n/a","United States","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/bro",
"CCL","Carnival Corporation","64.33","46320476966.26","n/a","United States","1987","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/ccl",
"CUK","Carnival Corporation","64.74","46615695302.28","n/a","United States","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/cuk",
