"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AAN","Aaron&#39;s,  Inc.","39.03","2832731088.03","n/a","United States","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"AYI","Acuity Brands Inc","163.99","6902879939.02","n/a","United States","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"AFSD","Aflac Incorporated","25.27","0","n/a","United States","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"AFL","Aflac Incorporated","83.94","33175530570.06","n/a","United States","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AGCO","AGCO Corporation","72.62","5776136340.9","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/agco",
"ALP^O.CL","Alabama Power Company","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alp^o.cl",
"ALP^Q","Alabama Power Company","25.76","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alp^q",
"ABG","Asbury Automotive Group Inc","59.6","1241790674.4","n/a","United States","2002","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/abg",
"BZH","Beazer Homes USA, Inc.","17.55","588564697.5","n/a","United States","1994","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/bzh",
"BXC","BlueLinx Holdings Inc.","10.3","93711676.3","n/a","United States","2004","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/bxc",
"CRI","Carter&#39;s, Inc.","94.49","4519851384.73","n/a","United States","2003","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/cri",
"KO","Coca-Cola Company (The)","45.49","194028687193.69","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/ko",
"COTV","Cotiviti Holdings, Inc.","35.64","3284868125.88","n/a","United States","2016","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cotv",
"CUZ","Cousins Properties Incorporated","9.22","3872331670.58","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cuz",
"CRY","CryoLife, Inc.","21.85","736258823.6","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cry",
"DAL","Delta Air Lines, Inc.","48.47","35093744666.46","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/dal",
"EFX","Equifax, Inc.","105.04","12643928345.36","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/efx",
"FLT","FleetCor Technologies, Inc.","153.67","14119012737.28","n/a","United States","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/flt",
"FLO","Flowers Foods, Inc.","18.13","3795417090.36","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/flo",
"GPC","Genuine Parts Company","87.98","12918191116.06","n/a","United States","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpc",
"GPN","Global Payments Inc.","95.82","15220650645.42","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"GMS","GMS Inc.","34.78","1424968075.9","n/a","United States","2016","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/gms",
"GPK","Graphic Packaging Holding Company","13.67","4236370196.07","n/a","United States","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/gpk",
"GTN","Gray Television, Inc.","14.6","1059988689","n/a","United States","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/gtn",
"HVT","Haverty Furniture Companies, Inc.","24.4","517730155.6","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hvt",
"HD","Home Depot, Inc. (The)","159.97","188575448912.48","n/a","United States","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/hd",
"ICE","Intercontinental Exchange Inc.","67.05","39458426483.25","n/a","United States","2005","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ice",
"IHIT","Invesco High Income 2023 Target Term Fund","10","239414130","n/a","United States","2016","n/a","n/a","http://www.nasdaq.com/symbol/ihit",
"IVR","INVESCO MORTGAGE CAPITAL INC","17.19","1918574198.19","n/a","United States","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ivr",
"IVR^C","INVESCO MORTGAGE CAPITAL INC","24.91","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivr^c",
"IVR^B","INVESCO MORTGAGE CAPITAL INC","25.7","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivr^b",
"IVR^A","Invesco Mortgage Capital Inc.","25.3799","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivr^a",
"IVZ","Invesco Plc","34.2","13915697234.4","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ivz",
"MPX","Marine Products Corporation","15.99","557777379.12","n/a","United States","n/a","Capital Goods","Marine Transportation","http://www.nasdaq.com/symbol/mpx",
"MP^D","Mississippi Power Company","26.34","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mp^d",
"MHK","Mohawk Industries, Inc.","245.67","18262659943.59","n/a","United States","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/mhk",
"MWA","MUELLER WATER PRODUCTS","12.64","2004554620.48","n/a","United States","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mwa",
"NP","Neenah Paper, Inc.","82.5","1386412500","n/a","United States","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/np",
"NWL","Newell Brands Inc.","41.39","20285239000","n/a","United States","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/nwl",
"OXM","Oxford Industries, Inc.","60.16","1012301130.24","n/a","United States","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/oxm",
"PDM","Piedmont Office Realty Trust, Inc.","20.01","2911251798.45","n/a","United States","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/pdm",
"APTS","Preferred Apartment Communities, Inc.","18.52","605024898.12","n/a","United States","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/apts",
"PRI","Primerica, Inc.","78.15","3507805732.5","n/a","United States","2010","Finance","Life Insurance","http://www.nasdaq.com/symbol/pri",
"ROL","Rollins, Inc.","44.72","9748563870.24","n/a","United States","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/rol",
"RES","RPC, Inc.","23.74","5159948278.78","n/a","United States","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/res",
"SWM","Schweitzer-Mauduit International, Inc.","39.76","1220945428.08","n/a","United States","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/swm",
"SITE","SiteOne Landscape Supply, Inc.","56.03","2226605921.93","n/a","United States","2016","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/site",
"SO","Southern Company (The)","48.82","48794322046.96","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/so",
"SOJA","Southern Company (The)","27.25","0","n/a","United States","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/soja",
"SOJB","Southern Company (The)","25.82","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/sojb",
"SPB           ","Spectrum Brands Holdings, Inc.","105.41","6118328652.32","n/a","United States","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/spb",
"STI^A","SunTrust Banks, Inc.","25.34","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti^a",
"STI^E","SunTrust Banks, Inc.","25.44","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti^e",
"STI.WS.B","SunTrust Banks, Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti.ws.b",
"STI","SunTrust Banks, Inc.","57.22","27461930481.4","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sti",
"SNV","Synovus Financial Corp.","43.95","5339996990.1","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/snv",
"SNV^C","Synovus Financial Corp.","27.05","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/snv^c",
"TSS","Total System Services, Inc.","69.07","12725322251.64","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/tss",
"UPS","United Parcel Service, Inc.","117.67","101898480447.4","n/a","United States","1999","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ups",
