"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CMP","Compass Minerals International, Inc.","60.1","2032825885.8","n/a","United States","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/cmp",
"SPR","Spirit Aerosystems Holdings, Inc.","78.45","9282358311.15","n/a","United States","2006","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/spr",
"S","Sprint Corporation","8.52","34053446568","n/a","United States","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/s",
"TEGP","Tallgrass Energy GP, LP","27.25","4284502240","n/a","United States","2015","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tegp",
"TEP","Tallgrass Energy Partners, LP","46.35","3391473115.35","n/a","United States","2013","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/tep",
"NDP","Tortoise Energy Independence Fund, Inc.","12.95","188534763.55","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/ndp",
"TYG","Tortoise Energy Infrastructure Corporation","28.33","1390818146.75","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/tyg",
"TTP","Tortoise Pipeline & Energy Fund, Inc.","18.81","188408728.53","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/ttp",
"WDR","Waddell & Reed Financial, Inc.","18.72","1564830128.16","n/a","United States","1998","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/wdr",
"WR","Westar Energy, Inc.","49.69","7060657965.67","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/wr",
