"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BRS","Bristow Group Inc","9.34","329961661.34","n/a","United States","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"CTL","CenturyLink, Inc.","18.54","10189755958.5","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctl",
"ETR","Entergy Corporation","76.75","13778161611.75","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/etr",
"ELU","Entergy Louisiana, Inc.","25.0772","0","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elu",
"ELJ","Entergy Louisiana, Inc.","25.38","0","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elj",
"ELC","Entergy Louisiana, Inc.","24.85","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elc",
"HOS","Hornbeck Offshore Services","3.99","147742940.94","n/a","United States","2004","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/hos",
"MDR","McDermott International, Inc.","7.01","1990667539.98","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mdr",
"MSL","MidSouth Bancorp","11.7","193553743.5","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/msl",
"NR","Newpark Resources, Inc.","9.6","821838326.4","n/a","United States","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nr",
"PQ","Petroquest Energy Inc","2.06","43791035.04","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pq",
"CTAA","Qwest Corporation","26.56","0","n/a","United States","2016","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctaa",
"CTBB","Qwest Corporation","25.29","0","n/a","United States","2016","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctbb",
"CTW","Qwest Corporation","25.47","0","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctw",
"CTY","Qwest Corporation","25.3","0","n/a","United States","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cty",
"CTDD","Qwest Corporation","25.38","0","n/a","United States","2017","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctdd",
"CTV","Qwest Corporation","26.31","0","n/a","United States","2014","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctv",
"CTX","Qwest Corporation","25.75","3226980009","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctx",
"CTU","Qwest Corporation","25.75","0","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctu",
"CTZ","Qwest Corporation","25.38","0","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctz",
"SGY","Stone Energy Corporation","28.71","574174505.52","n/a","United States","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sgy",
"SPN","Superior Energy Services, Inc.","10.61","1624196094.3","n/a","United States","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/spn",
"TDW","Tidewater Inc.","27.52","507914238.72","n/a","United States","2017","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/tdw",
