Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
ABMD,"ABIOMED, Inc.",163.93,7229668072,n/a,United States,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ACIA,"Acacia Communications, Inc.",46.8,1835876250,n/a,United States,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
XLRN,Acceleron Pharma Inc.,34.83,1347401093,n/a,United States,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ATVI,"Activision Blizzard, Inc",63.89,48231913807,n/a,United States,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
AGEN,Agenus Inc.,4.1,408820450.5,n/a,United States,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGIO,"Agios Pharmaceuticals, Inc.",66.08,3197690100,n/a,United States,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
ALRN,"Aileron Therapeutics, Inc.",12.73,187319607.7,n/a,United States,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AKAM,"Akamai Technologies, Inc.",48.32,8283166560,n/a,United States,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKCA,"Akcea Therapeutics, Inc.",26.62,1771338164,n/a,United States,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",17.57,828450607.5,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
ALDX,"Aldeyra Therapeutics, Inc.",8.0372,121764994.5,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALNY,"Alnylam Pharmaceuticals, Inc.",113.79,10438340059,n/a,United States,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AIMC,Altra Industrial Motion Corp.,47.65,1396595197,n/a,United States,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",18.25,644012971.5,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMSC,American Superconductor Corporation,4.14,79464844.98,n/a,United States,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
ADI,"Analog Devices, Inc.",84.91,31218668228,n/a,United States,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,81.25,1013230238,n/a,United States,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANIK,Anika Therapeutics Inc.,56.71,831280132.4,n/a,United States,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
AQB,"AquaBounty Technologies, Inc.",6.76,60130835.44,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqb
ARQL,"ArQule, Inc.",1.13,80423852.63,n/a,United States,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
AZPN,"Aspen Technology, Inc.",63.94,4673963423,n/a,United States,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ATHN,"athenahealth, Inc.",123.665,4937923911,n/a,United States,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/athn
ATNI,"ATN International, Inc.",50.74,822263416.7,n/a,United States,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/atni
AVEO,"AVEO Pharmaceuticals, Inc.",3.59,424725073.8,n/a,United States,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aveo
AVID,"Avid Technology, Inc.",4.48,184261566.7,n/a,United States,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/avid
AWRE,"Aware, Inc.",4.7,102127066.1,n/a,United States,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/awre
