"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ADX","Adams Diversified Equity Fund, Inc.","15.01","1483484740.94","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","19.36","552748308.64","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peo",
"AGX","Argan, Inc.","64.65","1004901433.35","n/a","United States","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/agx",
"CHH","Choice Hotels International, Inc.","63.25","3573413239","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/chh",
"CIEN","Ciena Corporation","21.57","3077787105.54","n/a","United States","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cien",
"OFC","Corporate Office Properties Trust","32.53","3235656240.14","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ofc",
"DRH","Diamondrock Hospitality Company","10.87","2177317871.84","n/a","United States","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/drh",
"EBS","Emergent Biosolutions, Inc.","38.34","1580051478.78","n/a","United States","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebs",
"EVA","Enviva Partners, LP","28.75","756613692.5","n/a","United States","2015","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/eva",
"FRT","Federal Realty Investment Trust","123.14","8897504958.58","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/frt",
"FPO","First Potomac Realty Trust","11.14","654369559.9","n/a","United States","2003","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fpo",
"FCN","FTI Consulting, Inc.","35.19","1391505888.69","n/a","United States","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/fcn",
"GPX","GP Strategies Corporation","29.8","498424519","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/gpx",
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","24.15","1281689645.25","n/a","United States","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hasi",
"HST","Host Hotels & Resorts, Inc.","18.33","13565151418.65","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hst",
"LHO^I","LaSalle Hotel Properties","25.7168","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lho^i",
"LHO^J","LaSalle Hotel Properties","25.86","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lho^j",
"LHO","LaSalle Hotel Properties","28.8","3260524204.8","n/a","United States","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lho",
"LM","Legg Mason, Inc.","37.99","3555841357.96","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/lm",
"LMHB","Legg Mason, Inc.","25.23","0","n/a","United States","2016","Finance","Investment Managers","http://www.nasdaq.com/symbol/lmhb",
"LMHA","Legg Mason, Inc.","27.1","0","n/a","United States","2016","Finance","Investment Managers","http://www.nasdaq.com/symbol/lmha",
"LMT","Lockheed Martin Corporation","308.54","88856701487.1","n/a","United States","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/lmt",
"MKC","McCormick & Company, Incorporated","96.06","12579138362.82","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mkc",
"MKC.V","McCormick & Company, Incorporated","n/a","0","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mkc.v",
"MED","MEDIFAST INC","56.35","672262994.55","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/med",
"OHI","Omega Healthcare Investors, Inc.","32.09","6329466289.29","n/a","United States","1992","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ohi",
"PEB^D","Pebblebrook Hotel Trust","25.8703","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peb^d",
"PEB^C","Pebblebrook Hotel Trust","25.8202","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/peb^c",
"PEB","Pebblebrook Hotel Trust","34.73","2394749706.58","n/a","United States","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/peb",
"RXN","Rexnord Corporation","25.3","2624778429.9","n/a","United States","2012","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rxn",
"RXN^A","Rexnord Corporation","57.9","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rxn^a",
"RLJ^A","RLJ Lodging Trust","27.8","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlj^a",
"RLJ","RLJ Lodging Trust","21.8","3814933117.6","n/a","United States","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rlj",
"BFS","Saul Centers, Inc.","60.79","1325222000","n/a","United States","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bfs",
"BFS^C","Saul Centers, Inc.","25.46","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfs^c",
"SLCA","U.S. Silica Holdings, Inc.","31.75","2578519163.5","n/a","United States","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/slca",
"UAA","Under Armour, Inc.","16.41","7236617707.62","n/a","United States","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/uaa",
"UA","Under Armour, Inc.","15.04","6632463761.28","n/a","United States","2016","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ua",
"GRA","W.R. Grace & Co.","73.05","4983979501.05","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gra",
"WD","Walker & Dunlop, Inc.","49.23","1538281440.9","n/a","United States","2010","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wd",
"WRE","Washington Real Estate Investment Trust","32.6","2507817689.8","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wre",
