"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ADC","Agree Realty Corporation","49.72","1423826817.16","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/adc",
"AXL","American Axle & Manufacturing Holdings, Inc.","16.52","1838511989.44","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/axl",
"BWA","BorgWarner Inc.","49.96","10544681201.04","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"CMS^B","CMS Energy Corporation","103.25","0","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/cms^b",
"CMS","CMS Energy Corporation","46.47","13084537267.32","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/cms",
"CPS","Cooper-Standard Holdings Inc.","110.04","1951466196.12","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/cps",
"DPLO","Diplomat Pharmacy, Inc.","20.75","1417288038.5","n/a","United States","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/dplo",
"DPZ","Domino&#39;s Pizza Inc","197.21","9516443489.8","n/a","United States","2004","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dpz",
"DTE","DTE Energy Company","108.38","19442676092.02","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dte",
"DTJ","DTE Energy Company","25.62","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtj",
"DTV","DTE Energy Company","54.23","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtv",
"DTY","DTE Energy Company","27.12","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dty",
"DTQ","DTE Energy Company","25.2","0","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtq",
"FBC","Flagstar Bancorp, Inc.","34.28","1959500984.92","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fbc",
"F","Ford Motor Company","11.84","46186692289.6","n/a","United States","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/f",
"GM","General Motors Company","39.42","57225124211.76","n/a","United States","2010","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/gm",
