"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ANIP","ANI Pharmaceuticals, Inc.","50.06","583163257.16","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip",
"APOG","Apogee Enterprises, Inc.","46.51","1341733084.21","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"ARCI","Appliance Recycling Centers of America, Inc.","1.15","7653669.75","n/a","United States","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"ASV","ASV Holdings, Inc.","8","78400000","n/a","United States","2017","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/asv",
"TECH","Bio-Techne Corp","121.35","4537665184.05","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/tech",
"BWLD","Buffalo Wild Wings, Inc.","105.05","1628325634.1","n/a","United States","2003","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bwld",
"CHRW","C.H. Robinson Worldwide, Inc.","73.14","10263437423.1","n/a","United States","1997","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/chrw",
"CLXT","Calyxt, Inc.","25.71","710881500","n/a","United States","2017","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/clxt",
"CPHC","Canterbury Park Holding Corporation","11.9874","52593722.5458","n/a","United States","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CPLA","Capella Education Company","67.3","785519744.9","n/a","United States","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cpla",
"CSII","Cardiovascular Systems, Inc.","27.5","907274170","n/a","United States","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CELC","Celcuity Inc.","13.63","127729796.75","n/a","United States","2017","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/celc",
"CHFS","CHF Solutions, Inc.","0.595","7447221.11","n/a","United States","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/chfs",
"CHSCL","CHS Inc","28.69","0","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","27.33","519270000","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscm",
"CHSCN","CHS Inc","28.81","484008000","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscn",
"CHSCO","CHS Inc","29.319","331866891.825","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chsco",
"CHSCP","CHS Inc","30.71","222102643.18","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscp",
"CLFD","Clearfield, Inc.","12.85","179063593.5","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/clfd",
"CGNT","Cogentix Medical, Inc.","2.65","161424161.7","n/a","United States","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cgnt",
"JCS","Communications Systems, Inc.","4.12","36900133.16","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcs",
"CYBE","CyberOptics Corporation","16.05","111888803.25","n/a","United States","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/cybe",
"DGII","Digi International Inc.","10","265397070","n/a","United States","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DGLT","Digiliti Money Group, Inc.","1.0464","10335585.792","n/a","United States","n/a","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/dglt",
"ELSE","Electro-Sensors, Inc.","3.64","12359696.44","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/else",
"ENTG","Entegris, Inc.","27.85","3948956021.05","n/a","United States","2000","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/entg",
"ENTL","Entellus Medical, Inc.","17.69","448816191.89","n/a","United States","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/entl",
"ETRM","EnteroMedics Inc.","2.04","20769517.44","n/a","United States","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm",
"EVLV","EVINE Live Inc.","1.07","69790384.06","n/a","United States","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv",
"DAVE","Famous Dave&#39;s of America, Inc.","4.4","30613563.2","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave",
"FAST","Fastenal Company","44.25","12743034199.5","n/a","United States","1987","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/fast",
"GDEN","Golden Entertainment, Inc.","23.18","517426741.6","n/a","United States","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/gden",
"GWGH","GWG Holdings, Inc","9.6221","55649944.5655","n/a","United States","2014","Finance","Life Insurance","http://www.nasdaq.com/symbol/gwgh",
"HWKN","Hawkins, Inc.","37.9","404137970.9","n/a","United States","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/hwkn",
"HMNF","HMN Financial, Inc.","18.05","81180560.9","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hmnf",
"IKNX","Ikonics Corporation","8.58","17091814.74","n/a","United States","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/iknx",
"ISNS","Image Sensing Systems, Inc.","3","15505143","n/a","United States","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/isns",
"ISIG","Insignia Systems, Inc.","1.15","13609807.25","n/a","United States","1991","Consumer Services","Advertising","http://www.nasdaq.com/symbol/isig",
"MGCD","MGC Diagnostics Corporation","8.19","36363935.79","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mgcd",
"MTSC","MTS Systems Corporation","51.3","869823870.3","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mtsc",
"NSYS","Nortech Systems Incorporated","3.5019","9622629.3789","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nsys",
"NTIC","Northern Technologies International Corporation","16.85","76280253.3","n/a","United States","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/ntic",
"NVEC","NVE Corporation","75.64","366173996.4","n/a","United States","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/nvec",
"OTTR","Otter Tail Corporation","42.75","1691078465.25","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ottr",
"PDCO","Patterson Companies, Inc.","37.4","3579292200","n/a","United States","1992","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/pdco",
"QUMU","Qumu Corporation","2.84","26694452.2","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qumu",
"SCSS","Select Comfort Corporation","29.67","1218428220","n/a","United States","1998","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/scss",
"SKLN","Skyline Medical Inc.","1.395","8694701.595","n/a","United States","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/skln",
"SPSC","SPS Commerce, Inc.","56","964420632","n/a","United States","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/spsc",
"SSYS","Stratasys, Ltd.","22.94","1212470760","n/a","United States","1994","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/ssys",
