"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BW","Babcock","3.5","151218865","n/a","United States","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/bw",
"BGH","Babson Global Short Duration High Yield Fund","20.42","409581276.58","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/bgh",
"BAC","Bank of America Corporation","25.02","263975520206.88","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac",
"BAC^C","Bank of America Corporation","26.96","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^c",
"BAC^E","Bank of America Corporation","24.49","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^e",
"BAC^L","Bank of America Corporation","1312","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^l",
"BAC^Y","Bank of America Corporation","27.36","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac^y",
"BML^G","Bank of America Corporation","22.2413","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bml^g",
"BML^J","Bank of America Corporation","24","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bml^j",
"BML^H","Bank of America Corporation","22.26","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bml^h",
"BAC^A","Bank of America Corporation","26.7","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^a",
"BAC.WS.B","Bank of America Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac.ws.b",
"BAC^I","Bank of America Corporation","25.9288","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^i",
"BML^I","Bank of America Corporation","25.8301","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bml^i",
"BML^L","Bank of America Corporation","23.62","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bml^l",
"BAC^D","Bank of America Corporation","25.65","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bac^d",
"BAC^W","Bank of America Corporation","27.09","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac^w",
"BBT^D","BB&T Corporation","25.36","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbt^d",
"BBT^G","BB&T Corporation","25.35","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbt^g",
"BBT","BB&T Corporation","45.22","36541942985.66","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbt",
"BBT^F","BB&T Corporation","25.21","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbt^f",
"BBT^E","BB&T Corporation","25.27","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbt^e",
"BBT^H","BB&T Corporation","26.58","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbt^h",
"BWXT","BWX Technologies, Inc.","56.24","5585870461.04","n/a","United States","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"CSL","Carlisle Companies Incorporated","98.19","6202843951.5","n/a","United States","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/csl",
"CATO","Cato Corporation (The)","13.01","330960505.32","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cato",
"ECOM          ","ChannelAdvisor Corporation","11.15","294709362.95","n/a","United States","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ecom",
"CULP","Culp, Inc.","31","385675991","n/a","United States","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/culp",
"DUKH","Duke Energy Corporation","25.44","0","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/dukh",
"DUK","Duke Energy Corporation","84.25","58970819767.75","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/duk",
"NPO","EnPro Industries","77.41","1650637581.92","n/a","United States","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/npo",
"HBI","Hanesbrands Inc.","24.54","8944309334.82","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/hbi",
"HIW","Highwoods Properties, Inc.","51.68","5335248728.16","n/a","United States","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hiw",
"JELD","JELD-WEN Holding, Inc.","34.35","3614988263.55","n/a","United States","2017","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/jeld",
"LH","Laboratory Corporation of America Holdings","155.07","15786126000","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/lh",
"LOW","Lowe&#39;s Companies, Inc.","78.23","65150896763.17","n/a","United States","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/low",
