"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AIRT","Air T, Inc.","16.955","34635487.495","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"AKTS","Akoustis Technologies, Inc.","7.08","135051304.44","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/akts",
"ARLZ","Aralez Pharmaceuticals Inc.","1.7999","118542771.1246","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arlz",
"ARGS","Argos Therapeutics, Inc.","0.1743","9582097.0077","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/args",
"ASBB","ASB Bancorp, Inc.","43.075","163169176.875","n/a","United States","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"BDSI","BioDelivery Sciences International, Inc.","2.8","155332721.6","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bdsi",
"BMCH","BMC Stock Holdings, Inc.","21.15","1416174051.6","n/a","United States","2013","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bmch",
"BOJA","Bojangles&#39;, Inc.","13.75","508739880","n/a","United States","2015","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/boja",
"BHF","Brighthouse Financial, Inc.","58.35","6988760735.1","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/bhf",
"CPTA","Capitala Finance Corp.","9.27","147470719.68","n/a","United States","2013","n/a","n/a","http://www.nasdaq.com/symbol/cpta",
"CPTAG","Capitala Finance Corp.","24.9","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cptag",
"CPTAL","Capitala Finance Corp.","25.32","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cptal",
"CART","Carolina Trust BancShares, Inc.","8.29","38588955.2","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cart",
"CBIO","Catalyst Biosciences, Inc. ","4.78","20604481.58","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbio",
"CEMP","Cempra, Inc.","3.15","165404235.15","n/a","United States","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemp",
"HOTR","Chanticleer Holdings, Inc.","2.05","5126094.7","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/hotr",
"CTHR","Charles & Colvard Ltd","0.8819","19075219.2015","n/a","United States","1997","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/cthr",
"CMRX","Chimerix, Inc.","5.01","235702103.28","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cmrx",
"COKE","Coca-Cola Bottling Co. Consolidated","209.23","1952988179.87","n/a","United States","1972","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/coke",
"COMM","CommScope Holding Company, Inc.","33.17","6403180086.85","n/a","United States","2013","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/comm",
"CREE","Cree, Inc.","24.99","2441144676.39","n/a","United States","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/cree",
"DOVA","Dova Pharmaceuticals, Inc.","24.62","631563491.34","n/a","United States","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dova",
"ENFC","Entegra Financial Corp.","23.95","154685362.05","n/a","United States","2014","Finance","Banks","http://www.nasdaq.com/symbol/enfc",
"FENC","Fennec Pharmaceuticals Inc.","11.9","186599889.7","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fenc",
"FBNC","First Bancorp","33.08","816357998.6","n/a","United States","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/fbnc",
"FCNCA","First Citizens BancShares, Inc.","354.66","4259610237.3","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcnca",
"FSBK","First South Bancorp Inc","17.85","169640884.35","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fsbk",
"GTHX","G1 Therapeutics, Inc.","24.8544","703018584.4032","n/a","United States","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gthx",
"HTBX","Heat Biologics, Inc.","0.6775","24246987.88","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/htbx",
"HTBI","HomeTrust Bancshares, Inc.","25.175","477536393.125","n/a","United States","2012","Finance","Savings Institutions","http://www.nasdaq.com/symbol/htbi",
"INCR","INC Research Holdings, Inc.","52.05","5422104609.9","n/a","United States","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incr",
"IMKTA","Ingles Markets, Incorporated","24.5","496364512","n/a","United States","1987","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/imkta",
"IIIN","Insteel Industries, Inc.","25.62","487427212.44","n/a","United States","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/iiin",
