"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BYD","Boyd Gaming Corporation","25.04","2824192114","n/a","United States","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/byd",
"EIG","Employers Holdings Inc","43.1","1397086284.5","n/a","United States","2007","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/eig",
"EVRI","Everi Holdings Inc.","7.22","482188241.5","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/evri",
"IGT","International Game Technology","23.46","4749007800","n/a","United States","2015","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/igt",
"LVS","Las Vegas Sands Corp.","63.57","50304395227.32","n/a","United States","2004","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/lvs",
"MGP","MGM Growth Properties LLC","30.77","2181494443.69","n/a","United States","2016","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mgp",
"MGM","MGM Resorts International","32.38","18624722237.94","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mgm",
"ORA","Ormat Technologies, Inc.","57.68","2878824950.4","n/a","United States","2004","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ora",
"SWX","Southwest Gas Holdings, Inc.","77.37","3681505917.03","n/a","United States","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/swx",
"TAHO","Tahoe Resources, Inc.","5.76","1801588383.36","n/a","United States","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/taho",
"WAL","Western Alliance Bancorporation","50.69","5349640369.45","n/a","United States","2005","Finance","Major Banks","http://www.nasdaq.com/symbol/wal",
"WALA","Western Alliance Bancorporation","26.31","0","n/a","United States","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/wala",
