"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"GCH","Aberdeen Greater China Fund, Inc.","11.9456","105321894.4064","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"ABM","ABM Industries Incorporated","39.31","2560492543.48","n/a","United States","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","28.76","2406042992.28","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.2839","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^a",
"MITT","AG Mortgage Investment Trust, Inc.","19.57","544602590.37","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt",
"MITT^B","AG Mortgage Investment Trust, Inc.","25.12","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^b",
"AIN","Albany International Corporation","56.25","1805625000","n/a","United States","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/ain",
"ALX","Alexander&#39;s, Inc.","421.07","2150526600.3","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/alx",
"Y","Alleghany Corporation","564.48","8703912994.56","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/y",
"AWF","Alliance World Dollar Government Fund II","12.88","1110638239.76","n/a","United States","1993","n/a","n/a","http://www.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","24.5","2284363266.5","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","9.83","179466427.96","n/a","United States","2017","n/a","n/a","http://www.nasdaq.com/symbol/cbh",
"ACV","AllianzGI Diversified Income & Convertible Fund","21.2","217829364","n/a","United States","2015","n/a","n/a","http://www.nasdaq.com/symbol/acv",
"ATUS","Altice USA, Inc.","27.3","20121982771.8","n/a","United States","2017","Consumer Services","Television Services","http://www.nasdaq.com/symbol/atus",
"AXP","American Express Company","88.4","78143800529.6","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/axp",
"AIG.WS","American International Group, Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aig.ws",
"AIG","American International Group, Inc.","60.71","54845758893.51","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/aig",
"AXR","AMREP Corporation","6.86","55491939.44","n/a","United States","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/axr",
"AFSI^C","AmTrust Financial Services, Inc.","25.0572","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^c",
"AFSI^E","AmTrust Financial Services, Inc.","25.5","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^e",
"AFST","AmTrust Financial Services, Inc.","25.94","0","n/a","United States","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afst",
"AFSI^B","AmTrust Financial Services, Inc.","24.8","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^b",
"AFSI^A","AmTrust Financial Services, Inc.","24.47","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^a",
"AFSI^D","AmTrust Financial Services, Inc.","24.9","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^d",
"AFSS","AmTrust Financial Services, Inc.","25.69","0","n/a","United States","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afss",
"AFSI^F","AmTrust Financial Services, Inc.","23.47","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afsi^f",
"NLY","Annaly Capital Management Inc","12.44","13535188602.36","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nly",
"NLY^D","Annaly Capital Management Inc","25.42","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^d",
"NLY^E","Annaly Capital Management Inc","25.29","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^e",
"NLY^C","Annaly Capital Management Inc","25.55","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^c",
"NLY^F","Annaly Capital Management Inc","25.38","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^f",
"ARI","Apollo Commercial Real Estate Finance","18.35","1934791135.15","n/a","United States","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ari",
"ARI^C","Apollo Commercial Real Estate Finance","25.75","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ari^c",
"APO","Apollo Global Management, LLC","31.05","12710938468.95","n/a","United States","2011","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"APO^A","Apollo Global Management, LLC","26.14","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apo^a",
"AIB.CL","Apollo Investment Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aib.cl",
"AIY","Apollo Investment Corporation","26.24","0","n/a","United States","2013","n/a","n/a","http://www.nasdaq.com/symbol/aiy",
"ABR","Arbor Realty Trust","8","490799328","n/a","United States","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abr",
"ABR^A","Arbor Realty Trust","25.4","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^a",
"ABR^C","Arbor Realty Trust","26.4","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^c",
"ABR^B","Arbor Realty Trust","25.2","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abr^b",
"ABRN","Arbor Realty Trust","25.47","0","n/a","United States","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/abrn",
"ARNC^B","Arconic Inc.","41.11","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arnc^b",
"ARNC","Arconic Inc.","26.21","11559422483.79","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arnc",
"AFC","Ares Capital Corporation","26.136","209088000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/afc",
"ARW","Arrow Electronics, Inc.","80.24","7082078527.52","n/a","United States","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/arw",
"GRR","Asia Tigers Fund, Inc. (The)","12.6","43681465.8","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grr",
"AIZ","Assurant, Inc.","94.45","5089606654.35","n/a","United States","2004","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/aiz",
"AF^C","Astoria Financial Corporation","25.83","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/af^c",
"AF","Astoria Financial Corporation","20.79","2114714413.35","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"ACP","Avenue Income Credit Strategies Fund","14.6","190881451.2","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/acp",
"AVP","Avon Products, Inc.","2.45","1077876625.35","n/a","United States","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/avp",
"BK","Bank Of New York Mellon Corporation (The)","52.37","54106390246.37","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bk",
"BK^C","Bank Of New York Mellon Corporation (The)","25.43","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bk^c",
"BKS","Barnes & Noble, Inc.","7.25","526560721.25","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/bks",
"BGCA","BGC Partners, Inc.","26.47","0","n/a","United States","2012","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/bgca",
"BNY","BlackRock New York Investment Quality Municipal Trust Inc. (Th","15.2","196985008","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bny",
"BLK","BlackRock, Inc.","435.49","70570241712.96","n/a","United States","1999","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/blk",
"APRN","Blue Apron Holdings, Inc.","5.19","986367975.27","n/a","United States","2017","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/aprn",
"BPT","BP Prudhoe Bay Royalty Trust","21.1","451540000","n/a","United States","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bpt",
"BMY","Bristol-Myers Squibb Company","63.36","103905739618.56","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy",
"BR","Broadridge Financial Solutions, Inc.","80.93","9426355497.81","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"INF","Brookfield Global Listed Infrastructure Income Fund","13.46","185737770.4","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/inf",
"BRT","BRT Apartments Corp.","10.22","143335816.82","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brt",
"BG","Bunge Limited","71.28","10022125956.48","n/a","United States","2001","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bg",
"GYB","CABCO Series 2004-101 Trust","22.932","0","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","15.7744","0","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"BXMT","Capital Trust, Inc.","31.4","2977599419.8","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxmt",
"CBS","CBS Corporation","59.23","23789941661.86","n/a","United States","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cbs",
"CDR^B","Cedar Realty Trust, Inc.","25.2762","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdr^b",
"CDR^C","Cedar Realty Trust, Inc.","24.45","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdr^c",
"CDR","Cedar Realty Trust, Inc.","5.2","474861946","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdr",
"CIM","Chimera Investment Corporation","19.47","3656096070","n/a","United States","2007","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cim",
"CIM^B","Chimera Investment Corporation","26.04","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cim^b",
"CIM^A","Chimera Investment Corporation","25.95","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cim^a",
"BLW","Citigroup Inc.","16.05","593911856.7","n/a","United States","2003","Finance","Major Banks","http://www.nasdaq.com/symbol/blw",
"C","Citigroup Inc.","71.4","194533305183","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c",
"C^K","Citigroup Inc.","28.83","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^k",
"C^L","Citigroup Inc.","26.89","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^l",
"C^N","Citigroup Inc.","27.78","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^n",
"C^P","Citigroup Inc.","27.45","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^p",
"C^S","Citigroup Inc.","27.15","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^s",
"C^J","Citigroup Inc.","28.93","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^j",
"C^C","Citigroup Inc.","25.725","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^c",
"EMO","ClearBridge Energy MLP Opportunity Fund Inc.","11.94","372480908.64","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/emo",
"CTR","ClearBridge Energy MLP Total Return Fund Inc.","12.28","471553743.76","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/ctr",
"CLPR","Clipper Realty Inc.","10.41","185430779.55","n/a","United States","2017","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/clpr",
"COH","Coach, Inc.","39.95","11289258924.8","n/a","United States","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/coh",
"CNS","Cohen & Steers Inc","38.69","1791473013.33","n/a","United States","2004","Finance","Investment Managers","http://www.nasdaq.com/symbol/cns",
"LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc","26.94","776695825.2","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/ldp",
"RFI","Cohen & Steers Total Return Realty Fund, Inc.","12.47","325909298.43","n/a","United States","1993","n/a","n/a","http://www.nasdaq.com/symbol/rfi",
"CL","Colgate-Palmolive Company","71.19","62707140342.63","n/a","United States","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/cl",
"CLNS","Colony NorthStar, Inc.","12.89","7116608559.41","n/a","United States","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/clns",
"CLNS^B","Colony NorthStar, Inc.","25.4","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^b",
"CLNS^E","Colony NorthStar, Inc.","26.89","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^e",
"CLNS^H","Colony NorthStar, Inc.","25.4542","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^h",
"CLNS^D","Colony NorthStar, Inc.","25.8388","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^d",
"CLNS^I","Colony NorthStar, Inc.","25.5544","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^i",
"CLNS^C.CL","Colony NorthStar, Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^c.cl",
"CLNS^G","Colony NorthStar, Inc.","25.7309","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/clns^g",
"CBU","Community Bank System, Inc.","53.09","2683435271.07","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbu",
"ED","Consolidated Edison Inc","81.59","24943782101.3","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ed",
"STZ","Constellation Brands Inc","201.81","39415499596.83","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/stz",
"GLW","Corning Incorporated","30.05","27140668562.3","n/a","United States","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/glw",
"GYC","Corporate Asset Backed Corp CABCO","23.7334","0","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyc",
"COTY","Coty Inc.","16.15","12091287621","n/a","United States","2013","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/coty",
"CYS^A","CYS Investments, Inc.","25.4","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^a",
"CYS^B","CYS Investments, Inc.","25.17","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cys^b",
"CYS","CYS Investments, Inc.","8.57","1300510200.74","n/a","United States","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cys",
"DHX","DHI Group, Inc.","2.35","118462388.45","n/a","United States","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/dhx",
"DOV","Dover Corporation","92.43","14394519038.25","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov",
"DHF","Dreyfus High Yield Strategies Fund","3.5","254476908","n/a","United States","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhf",
"DSM","Dreyfus Strategic Municipal Bond Fund, Inc.","8.53","420047097.65","n/a","United States","1989","n/a","n/a","http://www.nasdaq.com/symbol/dsm",
"LEO","Dreyfus Strategic Municipals, Inc.","8.87","549851574.97","n/a","United States","1987","n/a","n/a","http://www.nasdaq.com/symbol/leo",
"DS","Drive Shack Inc.","3.19","213515453.36","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ds",
"DS^D","Drive Shack Inc.","25.05","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ds^d",
"DS^B","Drive Shack Inc.","25.38","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ds^b",
"DS^C","Drive Shack Inc.","24.75","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ds^c",
"EGIF","Eagle Growth and Income Opportunities Fund","16.73","120136038.75","n/a","United States","2015","n/a","n/a","http://www.nasdaq.com/symbol/egif",
"KODK.WS","Eastman Kodak Company","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kodk.ws",
"KODK","Eastman Kodak Company","7.75","329291540.25","n/a","United States","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kodk",
"ENZ","Enzo Biochem, Inc.","10.45","484956608.95","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/enz",
"EL","Estee Lauder Companies, Inc. (The)","107.58","39584722617","n/a","United States","1995","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/el",
"EEA","European Equity Fund, Inc. (The)","9.68","78141800","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eea",
"EVR","Evercore Inc.","76.9","3018592688.9","n/a","United States","2006","Finance","Investment Managers","http://www.nasdaq.com/symbol/evr",
"FSCE","Fifth Street Finance Corp.","25.25","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fsce",
"FDC","First Data Corporation","18.18","16779818377.62","n/a","United States","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fdc",
"OAKS","Five Oaks Investment Corp.","4.27","94534631.66","n/a","United States","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/oaks",
"OAKS^A","Five Oaks Investment Corp.","25.2218","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/oaks^a",
"FL","Foot Locker, Inc.","33.6","4166318284.8","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/fl",
"FIG","Fortress Investment Group LLC","7.99","3104716223.53","n/a","United States","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/fig",
"FTAI","Fortress Transportation and Infrastructure Investors LLC","17.79","1347817970.46","n/a","United States","2015","n/a","n/a","http://www.nasdaq.com/symbol/ftai",
"GCV","Gabelli Convertible and Income Securities Fund, Inc. (The)","5.76","81097920","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv",
"GCV^B","Gabelli Convertible and Income Securities Fund, Inc. (The)","26.63","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gcv^b",
