"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ANF","Abercrombie & Fitch Company","14.26","970921860.62","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"WMS","Advanced Drainage Systems, Inc.","20.1","1110447574.8","n/a","United States","2014","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/wms",
"AKS","AK Steel Holding Corporation","5.22","1643507050.68","n/a","United States","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/aks",
"AEP","American Electric Power Company, Inc.","70.57","34709175757.74","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aep",
"AFG","American Financial Group, Inc.","102.53","9024959536.19","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afg",
"AFGH","American Financial Group, Inc.","26.83","0","n/a","United States","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afgh",
"AFGE","American Financial Group, Inc.","26.28","0","n/a","United States","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afge",
"AIT","Applied Industrial Technologies, Inc.","61.85","2403927908.4","n/a","United States","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/ait",
"BIG","Big Lots, Inc.","49.51","2101812630.35","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/big",
"CAH","Cardinal Health, Inc.","66.66","21094801242.24","n/a","United States","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cah",
"CBZ","CBIZ, Inc.","16","877102576","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"FUN","Cedar Fair, L.P.","64.24","3612729248.48","n/a","United States","1987","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/fun",
"CHE","Chemed Corp.","191.86","3068201713.08","n/a","United States","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/che",
"CBB^B","Cincinnati Bell Inc","50.51","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbb^b",
"CBB","Cincinnati Bell Inc","19.6","826635429.2","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cbb",
"CLF","Cleveland-Cliffs Inc.","6.86","2034031180.58","n/a","United States","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/clf",
