"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CHK","Chesapeake Energy Corporation","4.22","3833192685.78","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHK^D","Chesapeake Energy Corporation","49.63","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chk^d",
"CLR","Continental Resources, Inc.","37.82","14190788328.64","n/a","United States","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/clr",
"DVN","Devon Energy Corporation","35.78","18802929598.18","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dvn",
"HP","Helmerich & Payne, Inc.","51.01","5538744712.47","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hp",
"LPI","Laredo Petroleum, Inc.","13.02","3157419162.24","n/a","United States","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lpi",
"LXU","Lsb Industries Inc.","7.66","217583088.98","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lxu",
"MMP","Magellan Midstream Partners L.P.","70.27","16023285550.12","n/a","United States","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/mmp",
"NGL^B","NGL ENERGY PARTNERS LP","24.66","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ngl^b",
"NGL","NGL ENERGY PARTNERS LP","10.85","1317526816.55","n/a","United States","2011","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ngl",
"OGE","OGE Energy Corporation","35.84","7157401681.92","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/oge",
"OKE","ONEOK, Inc.","54.7","20786451603.2","n/a","United States","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/oke",
"PHX","Panhandle Royalty Company","24.4","406772790.4","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/phx",
"SEMG","Semgroup Corporation","27.6","2171172630","n/a","United States","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/semg",
"UNT","Unit Corporation","19.67","1040279264.64","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/unt",
"WMB","Williams Companies, Inc. (The)","30","24799526220","n/a","United States","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/wmb",
"WPZ","Williams Partners LP","38.54","37504367148.56","n/a","United States","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/wpz",
"WPXP","WPX Energy, Inc.","51.93","0","n/a","United States","2015","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpxp",
"WPX","WPX Energy, Inc.","11.21","4459945884.67","n/a","United States","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpx",
