"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"FUV","Arcimoto, Inc.","5.54","0","n/a","United States","2017","n/a","n/a","http://www.nasdaq.com/symbol/fuv",
"COLM","Columbia Sportswear Company","58.31","4066945062.67","n/a","United States","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/colm",
"BREW","Craft Brew Alliance, Inc.","17.35","334746996.25","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/brew",
"CUI","CUI Global, Inc.","3.39","71176155.24","n/a","United States","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/cui",
"DMRC","Digimarc Corporation","32.65","367877606.2","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"ESDI","Eastside Distilling, Inc.","3.8","17942410.6","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/esdi",
"ESDIW","Eastside Distilling, Inc.","0.6","0","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/esdiw",
"ESIO","Electro Scientific Industries, Inc.","13.46","446019780.1","n/a","United States","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esio",
"FLIR","FLIR Systems, Inc.","39.21","5379435711.84","n/a","United States","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flir",
"JCTCF","Jewett-Cameron Trading Company","13.7","30765185.8","n/a","United States","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/jctcf",
"LSCC","Lattice Semiconductor Corporation","5.25","645601146.75","n/a","United States","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/lscc",
"PCBK","Pacific Continental Corporation (Ore)","25.65","584112060","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pcbk",
"PXLW","Pixelworks, Inc.","4.77","161243510.67","n/a","United States","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/pxlw",
"RSYS","RadiSys Corporation","1.43","55834657.45","n/a","United States","1995","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/rsys",
"SMIT","Schmitt Industries, Inc.","1.85","5542433.5","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/smit",
"SCHN","Schnitzer Steel Industries, Inc.","27.65","748140566.25","n/a","United States","1993","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/schn",
"UMPQ","Umpqua Holdings Corporation","18.98","4179589520.08","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/umpq",
"WVVI","Willamette Valley Vineyards, Inc.","7.86","39148058.34","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/wvvi",
"WVVIP","Willamette Valley Vineyards, Inc.","5.51","0","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/wvvip",
