"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ACRS","Aclaris Therapeutics, Inc.","25.52","682315913.84","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs",
"ACNB","ACNB Corporation","27.9","195725726.1","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACTA","Actua Corporation","12.35","404121022.5","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"GNMX","Aevi Genomic Medicine, Inc.","1.235","45830903.105","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnmx",
"ALQA","Alliqua BioMedical, Inc.","0.41","20543210.72","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa",
"ASRV","AmeriServ Financial Inc.","3.9","71950429.2","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.12","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ANSS","ANSYS, Inc.","122","10340802106","n/a","United States","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"BNCL","Beneficial Bancorp, Inc.","16.05","1218752833.8","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bncl",
"BBOX","Black Box Corporation","3","45413124","n/a","United States","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bbox",
"BMTC","Bryn Mawr Bank Corporation","41.65","708095773.35","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmtc",
"CBFV","CB Financial Services, Inc.","28","114464700","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbfv",
"CZNC","Citizens & Northern Corp","23.92","291266496.56","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cznc",
"CCNE","CNB Financial Corporation","26.04","398027545.44","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccne",
"CVLY","Codorus Valley Bancorp, Inc","27.96","236351276.28","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"CMCSA","Comcast Corporation","38.09","179532354144.65","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cmcsa",
"XRAY","DENTSPLY SIRONA Inc.","58.52","13430448027.92","n/a","United States","1987","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
"DEST","Destination Maternity Corporation","1.51","21115923.05","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dest",
"DNBF","DNB Financial Corp","33.925","144608331.825","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dnbf",
"DGICA","Donegal Group, Inc.","15.96","436061003.28","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgica",
