"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"APD","Air Products and Chemicals, Inc.","150.26","32750274265.94","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apd",
"ATI","Allegheny Technologies Incorporated","22.9","2493344763.6","n/a","United States","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ati",
"AEO","American Eagle Outfitters, Inc.","13.85","2452128525.35","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aeo",
"APU","AmeriGas Partners, L.P.","42.93","3990712096.98","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/apu",
"ABC","AmerisourceBergen Corporation (Holding Co)","81.05","17758992343.25","n/a","United States","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"AP","Ampco-Pittsburgh Corporation","17.25","213218625","n/a","United States","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ap",
"AME","AMTEK, Inc.","65.59","15137869302.15","n/a","United States","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/ame",
"WTR","Aqua America, Inc.","33.75","5995739576.25","n/a","United States","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/wtr",
"AWI","Armstrong World Industries Inc","49.85","2636506331.05","n/a","United States","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/awi",
"AXTA","Axalta Coating Systems Ltd.","29.03","7059072895.71","n/a","United States","2014","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/axta",
"BDN","Brandywine Realty Trust","17.28","3030736003.2","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bdn",
"BPL","Buckeye Partners L.P.","55.8","7880299479","n/a","United States","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"CCC","Calgon Carbon Corporation","21.4","1087010025.4","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ccc",
"CRS","Carpenter Technology Corporation","44.74","2091932697.52","n/a","United States","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/crs",
"CI","Cigna Corporation","182.74","46009933831.54","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ci",
"CNXC","CNX Coal Resources LP","14.9","347612559.8","n/a","United States","2015","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnxc",
"CCV","Comcast Corporation","25.44","0","n/a","United States","2012","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccv",
"CCZ","Comcast Corporation","58.194","0","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccz",
"CNNX","Cone Midstream Partners LP","17.34","1102569674.22","n/a","United States","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/cnnx",
"CNX","CONSOL Energy Inc.","16.27","3743226990.36","n/a","United States","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnx",
"CAPL","CrossAmerica Partners LP","27.41","928129105.47","n/a","United States","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/capl",
"CCK","Crown Holdings, Inc.","60.89","8220555162.06","n/a","United States","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cck",
"CSS","CSS Industries, Inc.","28.33","257644182.02","n/a","United States","n/a","Consumer Services","Consumer: Greeting Cards","http://www.nasdaq.com/symbol/css",
"CUBI","Customers Bancorp, Inc","30.61","940669298.24","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubi",
"CUBI^E","Customers Bancorp, Inc","26.74","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^e",
"CUBI^D","Customers Bancorp, Inc","27.1501","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^d",
"CUBI^C","Customers Bancorp, Inc","26.76","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^c",
"CUBI^F","Customers Bancorp, Inc","26.3","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cubi^f",
"CUBS","Customers Bancorp, Inc","25.86","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubs",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","10.62","81648248.58","n/a","United States","1993","n/a","n/a","http://www.nasdaq.com/symbol/ddf",
"DKS","Dick&#39;s Sporting Goods Inc","26.87","2938672991.53","n/a","United States","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/dks",
"ECR","Eclipse Resources Corporation","2.45","643709182.9","n/a","United States","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ecr",
"ETP","Energy Transfer Partners, L.P.","18.49","26579736442.52","n/a","United States","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/etp",
"ENS","Enersys","68.2","2959965591","n/a","United States","2004","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ens",
"ETM","Entercom Communications Corporation","11.2","456592897.6","n/a","United States","1999","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/etm",
"EPAM","EPAM Systems, Inc.","84.09","4416687408.33","n/a","United States","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/epam",
"EQT","EQT Corporation","64.26","11137993020","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eqt",
"EQGP","EQT GP Holdings, LP","28.49","7583040850","n/a","United States","2015","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/eqgp",
"EQM","EQT Midstream Partners, LP","73.49","5921953395.42","n/a","United States","2012","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/eqm",
"FNB","F.N.B. Corporation","13.36","4318320241.68","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","29.2811","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fnb^e",
"FII","Federated Investors, Inc.","28.89","2931032465.46","n/a","United States","1998","Finance","Investment Managers","http://www.nasdaq.com/symbol/fii",
"FCF","First Commonwealth Financial Corporation","13.38","1304269541.82","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcf",
"FMC","FMC Corporation","89.95","12064848860.4","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fmc",
"GLT","Glatfelter","18.22","794099131.72","n/a","United States","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/glt",
"GMED","Globus Medical, Inc.","29.28","2819426246.4","n/a","United States","2012","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gmed",
"GNC","GNC Holdings, Inc.","9.25","633331728.75","n/a","United States","2011","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/gnc",
"HSC","Harsco Corporation","19.75","1588286626","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hsc",
"HT","Hersha Hospitality Trust","18.47","772679040.78","n/a","United States","1999","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ht",
"HT^C","Hersha Hospitality Trust","25.45","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ht^c",
"HT^D","Hersha Hospitality Trust","25.5","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ht^d",
"HT^E","Hersha Hospitality Trust","25.4794","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ht^e",
"HSY","Hershey Company (The)","106.48","22621336222.32","n/a","United States","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/hsy",
"HF","HFF, Inc.","38.51","1485568383.72","n/a","United States","2007","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/hf",
"INSI","Insight Select Income Fund","20.7","221697724.5","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/insi",
"KMT","Kennametal Inc.","39.32","3182998982.08","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kmt",
"KNL","Knoll, Inc.","18.77","925770674.02","n/a","United States","2004","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/knl",
"KOP","Koppers Holdings Inc.","43.1","894129369.1","n/a","United States","2006","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/kop",
"LCI","Lannett Co Inc","17.4","648747115.8","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lci",
"LPT","Liberty Property Trust","41.8","6157859085.4","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lpt",
"LNC","Lincoln National Corporation","72.88","16144936516.72","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/lnc",
"LNC.WS","Lincoln National Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lnc.ws",
"MSA","MSA Safety Incorporporated","76.97","2939249541.5","n/a","United States","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/msa",
"PEI^C","Pennsylvania Real Estate Investment Trust","25.8884","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pei^c",
"PEI^D","Pennsylvania Real Estate Investment Trust","24.9","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pei^d",
"PEI","Pennsylvania Real Estate Investment Trust","9.88","689896767.04","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pei",
"PEI^A.CL","Pennsylvania Real Estate Investment Trust","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pei^a.cl",
"PEI^B","Pennsylvania Real Estate Investment Trust","25.25","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pei^b",
"PNC.WS","PNC Financial Services Group, Inc. (The)","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pnc.ws",
"PNC^Q","PNC Financial Services Group, Inc. (The)","25.57","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pnc^q",
"PNC","PNC Financial Services Group, Inc. (The)","133.43","63940529432.78","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pnc",
"PNC^P","PNC Financial Services Group, Inc. (The)","28.94","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pnc^p",
"PPG","PPG Industries, Inc.","108.76","27894740872.8","n/a","United States","n/a","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/ppg",
"PPL","PPL Corporation","38.47","26384868125.01","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ppl",
"KWR","Quaker Chemical Corporation","147.45","1962554486.7","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kwr",
"RDN","Radian Group Inc.","17.87","3846767608.52","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rdn",
"RAS^C","RAIT Financial Trust","13.51","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^c",
"RFT","RAIT Financial Trust","19.6","0","n/a","United States","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rft",
"RAS^B","RAIT Financial Trust","12.7","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^b",
"RAS","RAIT Financial Trust","0.6076","56571048.8392","n/a","United States","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ras",
"RAS^A","RAIT Financial Trust","12.11","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^a",
"RFTA","RAIT Financial Trust","21.76","0","n/a","United States","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rfta",
"RMP","Rice Midstream Partners LP","21","2148365268","n/a","United States","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/rmp",
"RAD","Rite Aid Corporation","2.39","2517367875.22","n/a","United States","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/rad",
"SFE","Safeguard Scientifics, Inc.","13","265373108","n/a","United States","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/sfe",
"SOV^C","Santander Holdings USA, Inc.","25.94","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sov^c",
"SEM","Select Medical Holdings Corporation","18.5","2459330245","n/a","United States","2009","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/sem",
"STON","StoneMor Partners L.P.","6.24","236854687.68","n/a","United States","2004","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ston",
"TFX","Teleflex Incorporated","241.77","10888696549.86","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/tfx",
"TOL","Toll Brothers Inc.","39.75","6290636250","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/tol",
"TGI","Triumph Group, Inc.","28.05","1391931349.05","n/a","United States","1996","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/tgi",
"UGI","UGI Corporation","47.06","8158972157.44","n/a","United States","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ugi",
"UIS","Unisys Corporation","8.25","416376485.25","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/uis",
"X","United States Steel Corporation","23.83","4168143499.49","n/a","United States","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/x",
"UHT","Universal Health Realty Income Trust","73.48","999835085.48","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/uht",
"UHS","Universal Health Services, Inc.","109.29","10454384896.23","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/uhs",
"VSH","Vishay Intertechnology, Inc.","18.1","2647198305","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vsh",
"VPG","Vishay Precision Group, Inc.","22.3","296401899.5","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vpg",
"WMK","Weis Markets, Inc.","42.61","1146142656.23","n/a","United States","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/wmk",
"WCC","WESCO International, Inc.","56.15","2693693551.65","n/a","United States","1999","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/wcc",
"WST","West Pharmaceutical Services, Inc.","95.21","7045773645.34","n/a","United States","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/wst",
"WAB","Westinghouse Air Brake Technologies Corporation","76.25","7318813778.75","n/a","United States","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/wab",
