"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AAC","AAC Holdings, Inc.","9.77","235074875.76","n/a","United States","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AZO","AutoZone, Inc.","574.03","15976976990","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/azo",
"BKD","Brookdale Senior Living Inc.","10.9","2030437404.9","n/a","United States","2005","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/bkd",
"CBL","CBL & Associates Properties, Inc.","8.3","1420105913.4","n/a","United States","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cbl",
"CBL^E","CBL & Associates Properties, Inc.","24.7299","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbl^e",
"CBL^D","CBL & Associates Properties, Inc.","24.3988","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbl^d",
"CYH","Community Health Systems, Inc.","7.36","844623862.72","n/a","United States","2000","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cyh",
"CHCT","Community Healthcare Trust Incorporated","26.57","478490175.91","n/a","United States","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chct",
"CXW","CoreCivic, Inc.","25.53","3017112065.58","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cxw",
"DKL","Delek Logistics Partners, L.P.","29.75","724753345.75","n/a","United States","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","25.7","2092197730.4","n/a","United States","2017","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/dk",
"DG","Dollar General Corporation","77.66","21221294328.3","n/a","United States","2009","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/dg",
"EMN","Eastman Chemical Company","86.48","12529144395.04","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/emn",
"EDR","Education Realty Trust Inc.","38.05","2785126140.1","n/a","United States","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/edr",
"FBK","FB Financial Corporation","36.54","1114098826.68","n/a","United States","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/fbk",
"FDX","FedEx Corporation","220","59017037640","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/fdx",
