Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
AHC,A.H. Belo Corporation,4.45,96801588.7,n/a,United States,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ALG,"Alamo Group, Inc.",101.57,1181035037,n/a,United States,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
ADS,Alliance Data Systems Corporation,216.76,12026590454,n/a,United States,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
ALDW,"Alon USA Partners, LP",11.23,702204353.4,n/a,United States,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw
ACC,American Campus Communities Inc,47.32,6455702264,n/a,United States,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc
ARL,"American Realty Investors, Inc.",8.698,134943903.3,n/a,United States,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl
AEUA,Anadarko Petroleum Corporation,36.36,0,n/a,United States,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,48.83,27362288416,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
ANDV,Andeavor,104,16317763176,n/a,United States,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/andv
ANDX,Andeavor Logistics LP,47.64,5145228286,n/a,United States,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/andx
APA,Apache Corporation,43.57,16597300088,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AHT^D,Ashford Hospitality Trust Inc,25.83,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,25.29,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,25.34,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^g
AHT^H,Ashford Hospitality Trust Inc,25.2,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^h
AHT,Ashford Hospitality Trust Inc,6.47,630374021.6,n/a,United States,2003,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aht
HOME,At Home Group Inc.,22.49,1358801832,n/a,United States,2016,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/home
T,AT&T Inc.,38.59,2.36943E+11,n/a,United States,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/t
ATO,Atmos Energy Corporation,83.89,8897842848,n/a,United States,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/ato
ATW,"Atwood Oceanics, Inc.",8.11,652519692.1,n/a,United States,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/atw
AZZ,AZZ Inc.,50.95,1324407700,n/a,United States,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/azz
BAS,"Basic Energy Services, Inc.",17.24,448709152.1,n/a,United States,2005,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/bas
BHE,"Benchmark Electronics, Inc.",33.6,1677452078,n/a,United States,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/bhe
BH,Biglari Holdings Inc.,308.05,636928184.7,n/a,United States,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bh
BSM,"Black Stone Minerals, L.P.",17.21,3373993532,n/a,United States,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bsm
EAT,"Brinker International, Inc.",32.18,1559281063,n/a,United States,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/eat
COG,Cabot Oil & Gas Corporation,26.58,12293058199,n/a,United States,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cog
CADE,Cadence Bancorporation,22.19,1855638750,n/a,United States,2017,Finance,Major Banks,http://www.nasdaq.com/symbol/cade
CPN,Calpine Corporation,14.66,5286957669,n/a,United States,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpn
CPT,Camden Property Trust,93,8617871598,n/a,United States,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cpt
CSU,Capital Senior Living Corporation,12.24,371361330.7,n/a,United States,1997,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/csu
CMO,Capstead Mortgage Corporation,9.67,929332081.5,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmo
CMO^E,Capstead Mortgage Corporation,25.09,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmo^e
