"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"EXR","Extra Space Storage Inc","78.89","9940148993.46","n/a","United States","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/exr",
"FC","Franklin Covey Company","18.55","257093391.1","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/fc",
"HUN","Huntsman Corporation","27.32","7270595049.36","n/a","United States","2005","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/hun",
"INST","Instructure, Inc.","32.85","965815590.15","n/a","United States","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inst",
"NUS","Nu Skin Enterprises, Inc.","61.46","3253826259.88","n/a","United States","1996","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/nus",
"USNA","USANA Health Sciences, Inc.","56.55","1382387030.7","n/a","United States","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/usna",
"VSTO","Vista Outdoor Inc.","23.12","1318931171.52","n/a","United States","2015","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/vsto",
"VSLR","Vivint Solar, Inc.","3.85","440690696.6","n/a","United States","2014","Capital Goods","Building Products","http://www.nasdaq.com/symbol/vslr",
"ZB^G","Zions Bancorporation","27.58","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^g",
"ZBK","Zions Bancorporation","30.3","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/zbk",
"ZB^H","Zions Bancorporation","25.85","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^h",
"ZB^A","Zions Bancorporation","25.045","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zb^a",
