"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ALK","Alaska Air Group, Inc.","74.75","9233528359.25","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/alk",
"AVA","Avista Corporation","51.4","3310737941.6","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ava",
"CLW","Clearwater Paper Corporation","47.15","774835517.25","n/a","United States","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/clw",
"ESL","Esterline Technologies Corporation","90.95","2726216973.1","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esl",
"NLS","Nautilus Group, Inc. (The)","16.9","520296784.8","n/a","United States","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/nls",
"JWN","Nordstrom, Inc.","46.88","7793318354.88","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/jwn",
"RLH","Red Lion Hotels Corporation","8.15","192433879.85","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/rlh",
"DATA","Tableau Software, Inc.","75.58","5977999041.88","n/a","United States","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/data",
"TBI","TrueBlue, Inc.","21.5","903038678.5","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/tbi",
"WY","Weyerhaeuser Company","33.58","25283746791.94","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wy",
