"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"SMCP","AlphaMark Actively Managed Small Cap ETF","24.49","26938387.75","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp",
"BKMU","Bank Mutual Corporation","9.8","450136079.4","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bkmu",
"CLRB","Cellectar Biosciences, Inc.","1.79","24920684.3","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrb",
"CLRBW","Cellectar Biosciences, Inc.","0.16","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbw",
"CLRBZ","Cellectar Biosciences, Inc.","0.62","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clrbz",
"CZWI","Citizens Community Bancorp, Inc.","13.6","79820739.2","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/czwi",
"CNXR","Connecture, Inc.","0.7384","16892957.9208","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnxr",
"ICBK","County Bancorp, Inc.","30","199234770","n/a","United States","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/icbk",
"DLTH","Duluth Holdings Inc.","19.6","636192421.2","n/a","United States","2015","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dlth",
"FBIZ","First Business Financial Services, Inc.","21.7","189116867.1","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbiz",
"FISV","Fiserv, Inc.","126.16","26552332526.4","n/a","United States","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/fisv",
"JOUT","Johnson Outdoors Inc.","66.65","666246663.35","n/a","United States","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/jout",
"KOSS","Koss Corporation","1.53","11295540.18","n/a","United States","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/koss",
"LE","Lands&#39; End, Inc.","12","385140252","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/le",
"CNCR","Loncar Cancer Immunotherapy ETF","26.189","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cncr",
"MRTN","Marten Transport, Ltd.","18.95","1033017067.3","n/a","United States","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/mrtn",
"MGEE","MGE Energy Inc.","64.85","2248243794.5","n/a","United States","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/mgee",
"NCBS","Nicolet Bankshares Inc.","57.67","568887156.75","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ncbs",
"OESX","Orion Energy Systems, Inc.","1.15","33078212.45","n/a","United States","2015","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/oesx",
"PLXS","Plexus Corp.","55.239","1856077739.823","n/a","United States","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/plxs",
"SOFO","Sonic Foundry, Inc.","3.3","14711647.5","n/a","United States","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sofo",
"STRT","Strattec Security Corporation","42.7","157979495.8","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/strt",
"TWIN","Twin Disc, Incorporated","17.8","205990909.4","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/twin",
"VALX","Validea Market Legends ETF","27.75","23584170","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/valx",
"VBND","Vident Core U.S. Bond Strategy Fund","49.99","429914000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vbnd",
"VUSE","Vident Core US Equity ETF","30.625","465500000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vuse",
"VIDI","Vident International Equity Fund","27.29","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vidi",
"WSBF","Waterstone Financial, Inc.","18.6","549731667.6","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wsbf",
"WBB","Westbury Bancorp, Inc.","20.15","80158594.1","n/a","United States","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/wbb",
"WEYS","Weyco Group, Inc.","28.21","288795953.81","n/a","United States","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/weys",
