"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ADTN","ADTRAN, Inc.","22.7","1085042566.4","n/a","United States","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"AUBN","Auburn National Bancorporation, Inc.","36.49","132956533.07","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn",
"BCRX","BioCryst Pharmaceuticals, Inc.","5.25","516236584.5","n/a","United States","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bcrx",
"CPSI","Computer Programs and Systems, Inc.","28.6","393413763.6","n/a","United States","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/cpsi",
"FUSB","First US Bancshares, Inc.","11.006","66838865.688","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fusb",
"HIBB","Hibbett Sports, Inc.","13.65","280367396.4","n/a","United States","1996","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hibb",
"IPCC","Infinity Property and Casualty Corporation","89.95","992819437.05","n/a","United States","2003","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ipcc",
"NCOM","National Commerce Corporation","40.475","569504620.8","n/a","United States","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/ncom",
"NSEC","National Security Group, Inc.","13.3099","33571720.4888","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/nsec",
"OTEL","Otelco Inc.","9.8","32797552.2","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/otel",
"SFBS","ServisFirst Bancshares, Inc.","36.38","1925674527.4","n/a","United States","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/sfbs",
