"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CAFD","8point3 Energy Partners LP","14.76","1167236032.32","n/a","United States","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","13.3","1221321696.7","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"ABAX","ABAXIS, Inc.","44.85","1017674620.95","n/a","United States","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ACTG","Acacia Research Corporation","4.95","250457372.55","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACAD","ACADIA Pharmaceuticals Inc.","37.58","4599803499.48","n/a","United States","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ARAY","Accuray Incorporated","4.475","374764482.175","n/a","United States","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.35","152024584.55","n/a","United States","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"AKAO","Achaogen, Inc.","15.84","668975551.2","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ADMS","Adamas Pharmaceuticals, Inc.","21.37","481125804.12","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","5.25","164594503.5","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"IOTS","Adesto Technologies Corporation","7.55","158122647.35","n/a","United States","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots",
"ADBE","Adobe Systems Incorporated","148.4","73221402170","n/a","United States","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADOM","ADOMANI, Inc.","8.18","556820207.4","n/a","United States","2017","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adom",
"ADRO","Aduro Biotech, Inc.","10.825","807679760.425","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro",
"AMD","Advanced Micro Devices, Inc.","13.3","12592161218.7","n/a","United States","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ADVM","Adverum Biotechnologies, Inc.","3.35","145010733.1","n/a","United States","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/advm",
"AEHR","Aehr Test Systems","3.3","70676136.3","n/a","United States","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
