"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ADES","Advanced Emissions Solutions, Inc.","10.39","219262767.5","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","76.14","3041238929.22","n/a","United States","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AMOT","Allied Motion Technologies, Inc.","25.29","239048085.33","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","27.9458","8383795.8916","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/swin",
"ABIO","ARCA biopharma, Inc.","1.15","16564811.6","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio",
"ARRY","Array BioPharma Inc.","11.33","1946111306.59","n/a","United States","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arry",
"ASCMA","Ascent Capital Group, Inc.","11.58","143072729.64","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ascma",
"ASPU","Aspen Group Inc.","6.35","86318674.2","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/aspu",
"BIOP","Bioptix, Inc","4.2808","23133096.4552","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/biop",
"BIOS","BioScrip, Inc.","2.415","307852670.79","n/a","United States","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/bios",
"CNTY","Century Casinos, Inc.","7.22","176663421.96","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cnty",
"CLVS","Clovis Oncology, Inc.","78.57","3840450843.78","n/a","United States","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clvs",
"COBZ","CoBiz Financial Inc.","18.25","762448974.5","n/a","United States","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cobz",
"PMTS","CPI Card Group Inc.","1.01","56147944.24","n/a","United States","2015","Finance","Finance Companies","http://www.nasdaq.com/symbol/pmts",
"CROX","Crocs, Inc.","9.045","649082848.905","n/a","United States","2006","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/crox",
"CSGS","CSG Systems International, Inc.","38.11","1279909753.87","n/a","United States","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"DISH","DISH Network Corporation","53.22","24806502247.32","n/a","United States","1995","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dish",
"BOOM","DMC Global Inc.","16.5","243716863.5","n/a","United States","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/boom",
"SATS","EchoStar Corporation","57.75","5523705610.5","n/a","United States","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EVOL","Evolving Systems, Inc.","4.75","59486976.5","n/a","United States","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"XOG","Extraction Oil & Gas, Inc.","14.33","2460019922.6","n/a","United States","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xog",
"GAIA","Gaia, Inc.","11.8","178882666.4","n/a","United States","1999","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gaia",
"GEVO","Gevo, Inc.","0.7362","11939694.5448","n/a","United States","2011","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gevo",
