"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AET","Aetna Inc.","153.57","51000597000","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AYR","Aircastle Limited","22.03","1734062921.15","n/a","United States","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"APH","Amphenol Corporation","82.94","25333599176.6","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aph",
"AMGP","Antero Midstream GP LP","19.59","3647149894.17","n/a","United States","2017","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/amgp",
"B","Barnes Group, Inc.","68.52","3688957833.6","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/b",
"BHVN","Biohaven Pharmaceutical Holding Company Ltd.","36.88","1325124142.24","n/a","United States","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bhvn",
"CODI^A","Compass Diversified Holdings","25.2188","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/codi^a",
"CODI","Compass Diversified Holdings","17.05","1021295000","n/a","United States","2006","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/codi",
"CR","Crane Company","78.35","4669704894.55","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/cr",
"DSE","Duff & Phelps Select Energy MLP Fund Inc.","6.33","165271027.11","n/a","United States","2014","n/a","n/a","http://www.nasdaq.com/symbol/dse",
"ECC           ","Eagle Point Credit Company Inc.","20.7","374477655.6","n/a","United States","2014","n/a","n/a","http://www.nasdaq.com/symbol/ecc",
"ECCA","Eagle Point Credit Company Inc.","26.14","0","n/a","United States","2015","n/a","n/a","http://www.nasdaq.com/symbol/ecca",
"ECCB","Eagle Point Credit Company Inc.","26.5554","0","n/a","United States","2016","n/a","n/a","http://www.nasdaq.com/symbol/eccb",
"ECCY","Eagle Point Credit Company Inc.","25.6","0","n/a","United States","2017","n/a","n/a","http://www.nasdaq.com/symbol/eccy",
"ECCZ","Eagle Point Credit Company Inc.","25.34","0","n/a","United States","2015","n/a","n/a","http://www.nasdaq.com/symbol/eccz",
"EARN","Ellington Residential Mortgage REIT","14.71","194248109.54","n/a","United States","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/earn",
"EME","EMCOR Group, Inc.","68.7","4065566659.8","n/a","United States","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/eme",
"ETH","Ethan Allen Interiors Inc.","30.6","839884779","n/a","United States","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/eth",
"ES","Eversource Energy","60.71","19238137403.68","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/es",
"FDS","FactSet Research Systems Inc.","168.61","6614281808.29","n/a","United States","1996","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fds",
"IT","Gartner, Inc.","124.18","11250378674.64","n/a","United States","1993","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/it",
"GEH","General Electric Capital Corporation","25.48","0","n/a","United States","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/geh",
"GEK","General Electric Capital Corporation","25.43","0","n/a","United States","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/gek",
"GEB","General Electric Company","25.33","0","n/a","United States","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/geb",
"GE","General Electric Company","24.87","215323117020","n/a","United States","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/ge",
"GWR","Genesee & Wyoming, Inc.","72.82","4539377864.12","n/a","United States","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr",
"HGH","Hartford Financial Services Group, Inc. (The)","31.15","0","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hgh",
"HIG.WS","Hartford Financial Services Group, Inc. (The)","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hig.ws",
"HIG","Hartford Financial Services Group, Inc. (The)","54.45","19836140935.05","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hig",
"HXL","Hexcel Corporation","57.92","5199977786.24","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/hxl",
"HTF","Horizon Technology Finance Corporation","25.48","293538365.12","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/htf",
"HUBB","Hubbell Inc","113.95","6233345772.8","n/a","United States","2015","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/hubb",
"IHC","Independence Holding Company","25.4","380511329.4","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/ihc",
"KAMN","Kaman Corporation","52.57","1466624407.85","n/a","United States","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/kamn",
"LDL","Lydall, Inc.","55","947868460","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ldl",
"OLN","Olin Corporation","33.78","5616199969.2","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/oln",
"PBI","Pitney Bowes Inc.","13.58","2535141247.66","n/a","United States","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pbi",
"PBI^B","Pitney Bowes Inc.","25.59","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pbi^b",
"PX","Praxair, Inc.","137.6","39362560374.4","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/px",
"ROG","Rogers Corporation","127.02","2313832647.72","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/rog",
"SWK","Stanley Black & Decker, Inc.","151.22","23159722410.98","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/swk",
"SWP","Stanley Black & Decker, Inc.","114.22","0","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/swp",
"SWJ","Stanley Black & Decker, Inc.","25.34","0","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/swj",
"SGU","Star Gas Partners, L.P.","10.89","608618490.48","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/sgu",
"STWD","STARWOOD PROPERTY TRUST, INC.","21.96","5721863210.64","n/a","United States","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/stwd",
"RGR","Sturm, Ruger & Company, Inc.","51","901264809","n/a","United States","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/rgr",
"SYF","Synchrony Financial","29.47","23438529287.04","n/a","United States","2014","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/syf",
"TEX","Terex Corporation","42.96","3840624000","n/a","United States","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/tex",
"TROX","Tronox Limited","21.95","2611513410.3","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/trox",
"URI","United Rentals, Inc.","132.31","11185496661.7","n/a","United States","1997","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/uri",
"UTX","United Technologies Corporation","115.01","91841528890.51","n/a","United States","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/utx",
"UBP^F.CL","Urstadt Biddle Properties Inc.","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubp^f.cl",
"UBP^G","Urstadt Biddle Properties Inc.","26.3594","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubp^g",
"UBP^H","Urstadt Biddle Properties Inc.","25.75","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ubp^h",
"UBA","Urstadt Biddle Properties Inc.","21.52","847786683.84","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/uba",
"UBP","Urstadt Biddle Properties Inc.","17.8612","703647189.4704","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ubp",
"VGI","Virtus Global Multi-Sector Income Fund","17.86","201018514.96","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/vgi",
"WRB","W.R. Berkley Corporation","65.33","7923029153.86","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wrb",
"WRB^B","W.R. Berkley Corporation","25.62","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^b",
"WRB^C","W.R. Berkley Corporation","26.46","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^c",
"WRB^D","W.R. Berkley Corporation","26.2","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^d",
"WBS","Webster Financial Corporation","50.33","4634157801.14","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wbs",
"WBS^E","Webster Financial Corporation","25.45","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wbs^e",
"WWE","World Wrestling Entertainment, Inc.","22.6","1742511595.8","n/a","United States","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/wwe",
"XRX","Xerox Corporation","33.13","8420644977.05","n/a","United States","n/a","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/xrx",
