"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CISN","Cision Ltd.","12.78","1541714303.16","n/a","United States","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cisn",
"DHR","Danaher Corporation","86.78","60285188046.74","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr",
"DEA","Easterly Government Properties, Inc.","20.36","792590286.56","n/a","United States","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dea",
"AGM","Federal Agricultural Mortgage Corporation","70.43","746845565.69","n/a","United States","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/agm",
"AGM^B","Federal Agricultural Mortgage Corporation","26.79","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^b",
"AGM^C","Federal Agricultural Mortgage Corporation","27.9519","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^c",
"AGM^A","Federal Agricultural Mortgage Corporation","25.99","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agm^a",
"MXF","Mexico Fund, Inc. (The)","17.6","264489456","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mxf",
"TWO","Two Harbors Investments Corp","10.19","3556027991.75","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/two",
"TWO^B","Two Harbors Investments Corp","25.95","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/two^b",
"TWO^A","Two Harbors Investments Corp","27.18","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/two^a",
"WGL","WGL Holdings Inc","84.63","4334663970","n/a","United States","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/wgl",
