"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"NCZ","AllianzGI Convertible & Income Fund II","6.23","465403764.42","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/ncz",
"AROC","Archrock, Inc.","11.9","844174540.3","n/a","United States","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aroc",
"BGIO","BlackRock 2022 Global Income Opportunity Trust","9.98","209758831.62","n/a","United States","2017","n/a","n/a","http://www.nasdaq.com/symbol/bgio",
"BFZ","BlackRock California Municipal Income Trust","14.6","465782121","n/a","United States","2001","n/a","n/a","http://www.nasdaq.com/symbol/bfz",
"HYT","Blackrock Corporate High Yield Fund, Inc.","11.17","1412546895.96","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/hyt",
"FRA","Blackrock Floating Rate Income Strategies Fund Inc","14.12","525722730.56","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/fra",
"BFO","Blackrock Florida Municipal 2020 Term Trust","15.1","83988132.8","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/bfo",
"BAF","BlackRock Income Investment Quality Trust","15.12","132291200.16","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/baf",
"BKN","BlackRock Investment Quality Municipal Trust Inc. (The)","15.13","260022046.67","n/a","United States","1993","n/a","n/a","http://www.nasdaq.com/symbol/bkn",
"MUI","Blackrock Muni Intermediate Duration Fund Inc","14.27","546487715.82","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/mui",
"MNE","Blackrock Muni New York Intermediate Duration Fund Inc","14.04","59106209.76","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/mne",
"BKK","Blackrock Municipal 2020 Term Trust","15.65","316703228.2","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/bkk",
"BBF","BlackRock Municipal Income Investment Trust","14.8","151145192.4","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bbf",
"BYM","Blackrock Municipal Income Quality Trust","14.82","391340965.86","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/bym",
"BFK","BlackRock Municipal Income Trust","14.38","644460220.26","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfk",
"BNJ","BlackRock New Jersey Municipal Income Trust","15.47","118624192.05","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bnj",
"BSE","Blackrock New York Municipal Income Quality Trust","13.49","87950213.4","n/a","United States","2002","n/a","n/a","http://www.nasdaq.com/symbol/bse",
"BCX","BlackRock Resources","8.81","863716912.02","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/bcx",
"BST","BlackRock Science and Technology Trust","24.35","544739328.75","n/a","United States","2014","n/a","n/a","http://www.nasdaq.com/symbol/bst",
"BSD","BlackRock Strategic Municipal Trust Inc. (The)","14.58","106527414.06","n/a","United States","1999","n/a","n/a","http://www.nasdaq.com/symbol/bsd",
"BUI","BlackRock Utility and Infrastructure Trust","21.03","355844676.36","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/bui",
"IGR","CBRE Clarion Global Real Estate Income Fund","7.79","908239948.26","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/igr",
"CC","Chemours Company (The)","51.79","9570841770.19","n/a","United States","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cc",
"CPK","Chesapeake Utilities Corporation","79.05","1292028140.1","n/a","United States","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/cpk",
"RNP","Cohen & Steers Reit and Preferred Income Fund Inc","21.01","999377123.36","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/rnp",
"DNI","Dividend and Income Fund","12.6","134504319.6","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dni",
"DDE","Dover Downs Gaming & Entertainment Inc","1.05","34810263.6","n/a","United States","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dde",
"DVD","Dover Motorsports, Inc.","2.05","75626869.8","n/a","United States","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dvd",
"DD^B","E.I. du Pont de Nemours and Company","102.705","0","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^b",
"DD^A","E.I. du Pont de Nemours and Company","89.51","0","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/dd^a",
"EFR","Eaton Vance Senior Floating-Rate Fund","14.79","544986549.27","n/a","United States","2003","n/a","n/a","http://www.nasdaq.com/symbol/efr",
