"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.5","44675745","n/a","United States","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"ALCO","Alico, Inc.","33.2","274019221.2","n/a","United States","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"AGTC","Applied Genetic Technologies Corporation","3.6","65116026","n/a","United States","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agtc",
"ARCW","ARC Group Worldwide, Inc.","2.445","44429625.57","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arcw",
"AXGN","AxoGen, Inc.","18.6","618266734.2","n/a","United States","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/axgn",
"BBGI","Beasley Broadcast Group, Inc.","11.1","319549652.7","n/a","United States","2000","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/bbgi",
"BLMN","Bloomin&#39; Brands, Inc.","17.23","1609393357.49","n/a","United States","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/blmn",
"CBF","Capital Bank Financial Corp.","39.05","2030670094.75","n/a","United States","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/cbf",
"CCBG","Capital City Bank Group","22.5","381690337.5","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccbg",
"CPRX","Catalyst Pharmaceuticals, Inc.","2.44","206314148.76","n/a","United States","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cprx",
"CELH","Celsius Holdings, Inc.","5.38","243930437.4","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/celh",
"CSFL","CenterState Bank Corporation","25.78","1547593817.76","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/csfl",
"CTXS","Citrix Systems, Inc.","76.22","11548193191.5","n/a","United States","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ctxs",
"CODA","Coda Octopus Group, Inc.","4.15","37859321.2","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/coda",
"COGT","Cogint, Inc.","4.95","273482282.7","n/a","United States","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cogt",
"CNAC","Constellation Alpha Capital Corp.","9.78","181223400","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnac",
"CNACR","Constellation Alpha Capital Corp.","0.311","0","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnacr",
"CNACU","Constellation Alpha Capital Corp.","10.24","0","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnacu",
"CNACW","Constellation Alpha Capital Corp.","0.25","0","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnacw",
"CCRN","Cross Country Healthcare, Inc.","13.07","476980540.21","n/a","United States","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CSX","CSX Corporation","53.1","48496920831","n/a","United States","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"EXAC","Exactech, Inc.","31.3","449095217","n/a","United States","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"FARO","FARO Technologies, Inc.","37.15","620703425.95","n/a","United States","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro",
"FNHC","Federated National Holding Company","14.44","187370003.28","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fnhc",
"FPAY","FlexShopper, Inc.","5.15","27255247.15","n/a","United States","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/fpay",
"FRPH","FRP Holdings, Inc.","44.5","445096431.5","n/a","United States","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/frph",
"GENC","Gencor Industries Inc.","17.075","245908788.45","n/a","United States","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/genc",
"HIIQ","Health Insurance Innovations, Inc.","21.7","356793244.5","n/a","United States","2013","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/hiiq",
"HMTV","Hemisphere Media Group, Inc.","12.3","524074820.7","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/hmtv",
"HSNI","HSN, Inc.","39.25","2056215969","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/hsni",
"ILG","ILG, Inc","26.42","3300223441.44","n/a","United States","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/ilg",
"ISCA","International Speedway Corporation","35.55","1589660838.9","n/a","United States","1996","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/isca",
"INTL","INTL FCStone Inc.","36.23","678208861.74","n/a","United States","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/intl",
"IRMD","iRadimed Corporation","9.5","100529408.5","n/a","United States","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/irmd",
"IZEA","IZEA Inc.","3.2","18259686.4","n/a","United States","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/izea",
"WYIG","JM Global Holding Company","10.2","57113757.6","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyig",
"WYIGU","JM Global Holding Company","10.32","57785684.16","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyigu",
"WYIGW","JM Global Holding Company","0.3599","0","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyigw",
"KFRC","Kforce, Inc.","18.95","506486883","n/a","United States","1995","Technology","Professional Services","http://www.nasdaq.com/symbol/kfrc",
"KLXI","KLX Inc.","52.9","2720309180.6","n/a","United States","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/klxi",
"LSTR","Landstar System, Inc.","97.2","4077247816.8","n/a","United States","1993","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/lstr",
"LPTH","LightPath Technologies, Inc.","2.54","61589478.04","n/a","United States","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/lpth",
"LMFA","LM Funding America, Inc.","2.58","8514000","n/a","United States","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/lmfa",
"LMFAW","LM Funding America, Inc.","0.091","0","n/a","United States","2015","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/lmfaw",
"MNGA","MagneGas Corporation","0.5811","7194449.1762","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mnga",
"FIZZ","National Beverage Corp.","118.28","5510280790","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fizz",
"NEO","NeoGenomics, Inc.","11.02","874855914.28","n/a","United States","n/a","Health Care","Precision Instruments","http://www.nasdaq.com/symbol/neo",
"NETE","Net Element, Inc.","0.72","13822421.76","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/nete",
"NICK","Nicholas Financial, Inc.","8.68","67914342.44","n/a","United States","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/nick",
"NCLH","Norwegian Cruise Line Holdings Ltd.","54.03","12327603017.64","n/a","United States","2013","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/nclh",
