"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ATLO","Ames National Corporation","28.3","263498837.9","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","2.2","9158054.4","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw",
"CASY","Caseys General Stores, Inc.","107.88","4088336774.64","n/a","United States","1983","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/casy",
"EMCI","EMC Insurance Group Inc.","27.7","591396523.5","n/a","United States","1982","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/emci",
"FLXS","Flexsteel Industries, Inc.","46.66","365026825.86","n/a","United States","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/flxs",
"HTLD","Heartland Express, Inc.","22.96","1912627512.32","n/a","United States","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/htld",
"HTLF","Heartland Financial USA, Inc.","46.45","1389662672.6","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/htlf",
"KMPH","KemPharm, Inc.","3.65","53499619.5","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmph",
"CASH","Meta Financial Group, Inc.","74.75","698911677.75","n/a","United States","1993","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cash",
"MOFG","MidWestOne Financial Group, Inc.","33.73","412130949.44","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mofg",
"NLNK","NewLink Genetics Corporation","10.99","323337240.59","n/a","United States","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nlnk",
"BTEC","Principal Healthcare Innovators Index ETF","30.3751","7593805.3751","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btec",
"GENY","Principal Millennials Index ETF","31.45","7862531.45","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/geny",
"PSET","Principal Price Setters Index ETF","29.88","7470029.88","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pset",
"PY","Principal Shareholder Yield Index ETF","29.92","7480029.92","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/py",
"PSC","Principal U.S. Small Cap Index ETF","28.1891","269205933.1891","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psc",
"REGI","Renewable Energy Group, Inc.","13.15","508766635.7","n/a","United States","2012","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/regi",
"UFCS","United Fire Group, Inc","45.09","1128546157.14","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ufcs",
"WCFB","WCF Bancorp, Inc.","9.76","25000649.92","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wcfb",
"WTBA","West Bancorporation","23.25","376909493.25","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wtba",
