"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ANTM","Anthem, Inc.","182.86","48016236230.54","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antm",
"ANTX","Anthem, Inc.","51.37","13612341607.7","n/a","United States","2015","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/antx",
"BERY","Berry Global Group, Inc.","55.89","7288056000","n/a","United States","2012","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/bery",
"CGI","Celadon Group, Inc.","6.35","179701215.4","n/a","United States","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CNO","CNO Financial Group, Inc.","23.08","3901017835.6","n/a","United States","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/cno",
"CTS","CTS Corporation","23.15","762406496.9","n/a","United States","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/cts",
"CMI","Cummins Inc.","167.98","28156909731.84","n/a","United States","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cmi",
"DRE","Duke Realty Corporation","29.11","10355359364.19","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dre",
"LLY","Eli Lilly and Company","83.91","92383982291.04","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lly",
"HI","Hillenbrand Inc","37.65","2372995013.4","n/a","United States","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/hi",
"HRC","Hill-Rom Holdings Inc","73.6","4848821580.8","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hrc",
"KAR","KAR Auction Services, Inc","46.01","6319903785.52","n/a","United States","2009","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kar",
"KRG","Kite Realty Group Trust","19.6","1638447300","n/a","United States","2004","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/krg",
"NI","NiSource, Inc","25.69","8371609394.26","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ni",
"SPG^J","Simon Property Group, Inc.","73.97","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/spg^j",
"SPG","Simon Property Group, Inc.","158.81","49364941574.18","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/spg",
"VVC","Vectren Corporation","65.16","5406902322.12","n/a","United States","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/vvc",
"WNC","Wabash National Corporation","21.29","1256434800.24","n/a","United States","1991","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/wnc",
"ZBH","Zimmer Biomet Holdings, Inc.","114.4","23131213248","n/a","United States","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/zbh",
