"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"PETX","Aratana Therapeutics, Inc.","6.2","266611153.8","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/petx",
"CFFN","Capitol Federal Financial, Inc.","14.28","1973679283.8","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cffn",
"CRTN","Cartesian, Inc.","0.5491","4934220.2874","n/a","United States","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"DGLY","Digital Ally, Inc.","2.7","18742673.7","n/a","United States","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"EQBK","Equity Bancshares, Inc.","34.45","420507689.55","n/a","United States","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/eqbk",
"EEFT","Euronet Worldwide, Inc.","95.98","5042184334.04","n/a","United States","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft",
"IVENC","Ivy NextShares","100.06","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivenc",
"IVFGC","Ivy NextShares","99.99","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivfgc",
"IVFVC","Ivy NextShares","99.99","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ivfvc",
"LARK","Landmark Bancorp Inc.","28.94","112107222.14","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lark",
"LAYN","Layne Christensen Company","12.31","244746829.12","n/a","United States","1992","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/layn",
"MGPI","MGP Ingredients, Inc.","58.62","979888344.18","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/mgpi",
"EGOV","NIC Inc.","16.975","1124884497.8","n/a","United States","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/egov",
"YRCW","YRC Worldwide, Inc.","13.295","445811011.145","n/a","United States","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/yrcw",
