"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ASH","Ashland Global Holdings Inc.","64.17","4004356617.72","n/a","United States","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/ash",
"BWP","Boardwalk Pipeline Partners L.P.","14.65","3666847856.3","n/a","United States","2005","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/bwp",
"DNP","Duff & Phelps Utilities Income, Inc.","11.34","3238757377.38","n/a","United States","1987","n/a","n/a","http://www.nasdaq.com/symbol/dnp",
"BGC","General Cable Corporation","18.9","940365965.7","n/a","United States","1997","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/bgc",
"HUM","Humana Inc.","239.09","34552617826.18","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hum",
"KND","Kindred Healthcare, Inc.","6.25","543868862.5","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/knd",
"PMC","Pharmerica Corporation","29.15","907181872.3","n/a","United States","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/pmc",
"TPX","Tempur Sealy International, Inc.","63.76","3441369232.96","n/a","United States","2003","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/tpx",
"TPB","Turning Point Brands, Inc.","17.32","329586021.12","n/a","United States","2016","Consumer Non-Durables","Tobacco","http://www.nasdaq.com/symbol/tpb",
"VVV","Valvoline Inc.","23.2","4700904756","n/a","United States","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/vvv",
"VTR","Ventas, Inc.","66.04","23520157424.92","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vtr",
"YUM","Yum! Brands, Inc.","75.97","26192426309.51","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/yum",
