"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"GOLF","Acushnet Holdings Corp.","17.09","1272384286.93","n/a","United States","2016","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/golf",
"AMG","Affiliated Managers Group, Inc.","184.97","10350985939.5","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"ALR^B","Alere Inc.","398.5","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alr^b",
"ALR","Alere Inc.","50.35","4409519320.75","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/alr",
"AMRC","Ameresco, Inc.","7.75","352840798.75","n/a","United States","2010","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/amrc",
"ARA","American Renal Associates Holdings, Inc","14.25","445817876.25","n/a","United States","2016","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/ara",
"AMT","American Tower Corporation (REIT)","137.78","59132067132.08","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/amt",
"AMT^B","American Tower Corporation (REIT)","121.78","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/amt^b",
"ASPN","Aspen Aerogels, Inc.","4.06","95793426.4","n/a","United States","2014","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/aspn",
"AT","Atlantic Power Corporation","2.5","288202270","n/a","United States","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/at",
"MCI","Barings Corporate Investors","15.68","311533281.92","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mci",
"MPV","Barings Participation Investors","14.86","154877978.5","n/a","United States","1988","Consumer Services","Miscellaneous","http://www.nasdaq.com/symbol/mpv",
"BHLB","Berkshire Hills Bancorp, Inc.","36.15","1461294233.55","n/a","United States","n/a","Finance","Banks","http://www.nasdaq.com/symbol/bhlb",
"SAM","Boston Beer Company, Inc. (The)","154.25","1853503477.5","n/a","United States","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/sam",
"BXP^B","Boston Properties, Inc.","25.4201","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bxp^b",
"BXP","Boston Properties, Inc.","121.68","18777379682.88","n/a","United States","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxp",
"BSX","Boston Scientific Corporation","28.85","39585865219.4","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bsx",
"BFAM","Bright Horizons Family Solutions Inc.","81.99","4850311454.46","n/a","United States","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"CBT","Cabot Corporation","55.8","3472386625.8","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"CRL","Charles River Laboratories International, Inc.","105.51","5021621838","n/a","United States","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/crl",
"CHN","China Fund, Inc. (The)","20.75","326245506.25","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chn",
"CIR","CIRCOR International, Inc.","51.27","845935517.4","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/cir",
"CIVI","Civitas Solutions, Inc.","18.9","706159282.5","n/a","United States","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/civi",
"CLH","Clean Harbors, Inc.","54.71","3126898622.6","n/a","United States","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/clh",
"CXE","Colonial High Income Municipal Trust","5.29","166654350.82","n/a","United States","1989","n/a","n/a","http://www.nasdaq.com/symbol/cxe",
