Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
TWOU,"2U, Inc.",54.94,2633466160,n/a,United States,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
AGNC,AGNC Investment Corp.,21.6,7843410792,n/a,United States,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.422,9153904093,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.4,0,n/a,United States,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncn
ACSF,"American Capital Senior Floating, Ltd.",11.6,116001160,n/a,United States,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
DWAT,Arrow DWA Tactical ETF,11.315,7920500,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwat
AVIR,"Aviragen Therapeutics, Inc.",0.62,23962526.94,n/a,United States,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avir
BYBK,"Bay Bancorp, Inc.",7.95,85174964.4,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bybk
ADRA,BLDRS Asia 50 ADR Index Fund,32.83,21339500,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra
ADRD,BLDRS Developed Markets 100 ADR Index Fund,22.7699,63755720,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adrd
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,42.7,157990000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRU,BLDRS Europe 100 ADR Index Fund,22.32,14508000,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
BSFT,"BroadSoft, Inc.",49.7,1541385562,n/a,United States,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft
CASI,"CASI Pharmaceuticals, Inc.",1.91,114975456.3,n/a,United States,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/casi
CLSN,Celsion Corporation,1.56,13028062.32,n/a,United States,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn
CERC,Cerecor Inc.,0.78,20322788.46,n/a,United States,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cerc
CERCW,Cerecor Inc.,0.041,0,n/a,United States,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercw
CACG,ClearBridge All Cap Growth ETF,25.91,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cacg
YLDE,ClearBridge Dividend Strategy ESG ETF,25.85,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ylde
LRGE,ClearBridge Large Cap Growth ESG ETF,26.78,0,n/a,United States,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lrge
DISCA,"Discovery Communications, Inc.",21.395,8109327787,n/a,United States,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca
DISCB,"Discovery Communications, Inc.",22,8338640398,n/a,United States,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb
DISCK,"Discovery Communications, Inc.",20.415,7737879260,n/a,United States,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck
EGBN,"Eagle Bancorp, Inc.",63.475,2169195221,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
FUNC,First United Corporation,15.55,109898458.8,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/func
GLBZ,Glen Burnie Bancorp,10.9,30451853.2,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/glbz
GLYC,"GlycoMimetics, Inc.",13.6,445033412,n/a,United States,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/glyc
HBK,"Hamilton Bancorp, Inc.",14.0812,48032029.29,n/a,United States,2012,Finance,Savings Institutions,http://www.nasdaq.com/symbol/hbk
HBMD,"Howard Bancorp, Inc.",21.35,209484534.7,n/a,United States,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbmd
