"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"CHFC","Chemical Financial Corporation","49.8","3542990472.6","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chfc",
"CNFR","Conifer Holdings, Inc.","6.15","46943374.35","n/a","United States","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cnfr",
"CACC","Credit Acceptance Corporation","273.37","5278849056.64","n/a","United States","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cacc",
"SAUC","Diversified Restaurant Holdings, Inc.","2.07","55214084.97","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sauc",
"NDRA","ENDRA Life Sciences Inc.","3.237","12647046.399","n/a","United States","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ndra",
"NDRAW","ENDRA Life Sciences Inc.","0.45","0","n/a","United States","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ndraw",
"ESPR","Esperion Therapeutics, Inc.","49.33","1114520681.46","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr",
"GEMP","Gemphire Therapeutics Inc.","9.88","105054454.96","n/a","United States","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gemp",
"GNTX","Gentex Corporation","19.48","5562503169.12","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/gntx",
"THRM","Gentherm Inc","34.55","1272728818.65","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/thrm",
"MLHR","Herman Miller, Inc.","34.3","2051228391.1","n/a","United States","n/a","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/mlhr",
"IBCP","Independent Bank Corporation","20.625","440056856.25","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ibcp",
"KELYA","Kelly Services, Inc.","23.79","911366042.73","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","23","881102101","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"MBTF","M B T Financial Corp","10.8","247002112.8","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mbtf",
"MCBC","Macatawa Bank Corporation","9.87","334972856.82","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mcbc",
"MFNC","Mackinac Financial Corporation","14.94","94046254.2","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mfnc",
"MBWM","Mercantile Bank Corporation","33.51","552332596.2","n/a","United States","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/mbwm",
"NEOG","Neogen Corporation","72.96","2789479680","n/a","United States","1989","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/neog",
"PRCP","Perceptron, Inc.","7.52","70997064.48","n/a","United States","1992","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/prcp",
"RMTI","Rockwell Medical, Inc.","7.39","382358895.6","n/a","United States","1998","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/rmti",
"SPAR","Spartan Motors, Inc.","11","386032647","n/a","United States","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/spar",
"SPTN","SpartanNash Company","25.64","955618337.84","n/a","United States","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/sptn",
"SYNT","Syntel, Inc.","19.07","1595692643.15","n/a","United States","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/synt",
"TRS","TriMas Corporation","26.65","1218468914","n/a","United States","2007","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/trs",
"UFPI","Universal Forest Products, Inc.","94.64","1932716786","n/a","United States","1993","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/ufpi",
"ULH","Universal Logistics Holdings, Inc.","19.375","551081071.25","n/a","United States","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/ulh",
"WBKC","Wolverine Bancorp, Inc.","41.529","87459284.949","n/a","United States","2011","Finance","Banks","http://www.nasdaq.com/symbol/wbkc",
