"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"MMM","3M Company","210.76","125774643901.72","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"ALE","Allete, Inc.","76.91","3919090256.76","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/ale",
"AMP","AMERIPRISE FINANCIAL SERVICES, INC.","142.92","21429881715.24","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amp",
"BBY","Best Buy Co., Inc.","53.9","16126048430.8","n/a","United States","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/bby",
"CBK","Christopher & Banks Corporation","1.51","57161323.31","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cbk",
"DLX","Deluxe Corporation","70.07","3388183909.11","n/a","United States","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/dlx",
"DCI","Donaldson Company, Inc.","45.43","5955212902.1","n/a","United States","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/dci",
"ECL","Ecolab Inc.","131.33","38004446260.33","n/a","United States","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/ecl",
"EEP","Enbridge Energy, L.P.","15.53","7829907619.47","n/a","United States","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/eep",
"FICO","Fair Isaac Corporation","140.13","4292200817.55","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/fico",
"GIS","General Mills, Inc.","51.23","29370912695.76","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gis",
"GGG","Graco Inc.","122.4","6853910400","n/a","United States","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ggg",
"FUL","H. B. Fuller Company","55.58","2808656709.88","n/a","United States","n/a","Basic Industries","Home Furnishings","http://www.nasdaq.com/symbol/ful",
"HRL","Hormel Foods Corporation","31.27","16505187688.92","n/a","United States","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/hrl",
"MDT","Medtronic plc","79.7","107960937369.5","n/a","United States","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/mdt",
"MOS","Mosaic Company (The)","20.86","7322895678.14","n/a","United States","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/mos",
"JMM","Nuveen Multi-Market Income Fund","7.59","71819236.5","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jmm",
"OA","Orbital ATK, Inc.","132.64","7642884059.04","n/a","United States","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/oa",
"PJC","Piper Jaffray Companies","56.85","859240848.75","n/a","United States","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/pjc",
"PII","Polaris Industries Inc.","107.38","6717555353.6","n/a","United States","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/pii",
"PRLB","Proto Labs, Inc.","74.25","1976016141","n/a","United States","2012","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/prlb",
"RGS","Regis Corporation","13.54","628358565.5","n/a","United States","1991","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/rgs",
"SVU","SuperValu Inc.","21.27","815726408.1","n/a","United States","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/svu",
"TGT","Target Corporation","58.99","32222213764.02","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/tgt",
"TCF.WS","TCF Financial Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcf.ws",
"TCF^B.CL","TCF Financial Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcf^b.cl",
"TCF^D","TCF Financial Corporation","25.29","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcf^d",
"TCF","TCF Financial Corporation","16.47","2828303865.54","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/tcf",
"TCF^C","TCF Financial Corporation","25.59","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tcf^c",
"TNC","Tennant Company","63.35","1129162563.2","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/tnc",
"TRV","The Travelers Companies, Inc.","122.04","33676576273.44","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/trv",
"TTC","Toro Company (The)","61.62","6640674635.4","n/a","United States","n/a","Capital Goods","Tools/Hardware","http://www.nasdaq.com/symbol/ttc",
"USB","U.S. Bancorp","53.67","89777572286.73","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb",
"USB^A","U.S. Bancorp","902.9202","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/usb^a",
"USB^O","U.S. Bancorp","26.29","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^o",
"USB^H","U.S. Bancorp","23.21","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^h",
"USB^M","U.S. Bancorp","29.32","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/usb^m",
"UNH","UnitedHealth Group Incorporated","193.03","186632971515.78","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/unh",
"XEL","Xcel Energy Inc.","47.41","24073038188.21","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
