"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AEGN","Aegion Corp","22.83","753668046.57","n/a","United States","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AHPI","Allied Healthcare Products, Inc.","2.24","8990322.88","n/a","United States","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"ARII","American Railcar Industries, Inc.","37.13","708584390.14","n/a","United States","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"CASS","Cass Information Systems, Inc","60.82","681415176.82","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cass",
"CERN","Cerner Corporation","69.62","23084781656.3","n/a","United States","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/cern",
"CHTR","Charter Communications, Inc.","360.22","92894878301.26","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/chtr",
"CBSH","Commerce Bancshares, Inc.","56.48","5739833091.2","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbsh",
"CBSHP","Commerce Bancshares, Inc.","26.3","2410142625.2","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbshp",
"EFSC","Enterprise Financial Services Corporation","40.65","953770828.05","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/efsc",
"XELA","Exela Technologies, Inc.","5.29","777157327.92","n/a","United States","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xela",
"ESRX","Express Scripts Holding Company","62.27","35963976230","n/a","United States","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx",
"GSBC","Great Southern Bancorp, Inc.","52.8","741128678.4","n/a","United States","1989","Finance","Major Banks","http://www.nasdaq.com/symbol/gsbc",
"GFED","Guaranty Federal Bancshares, Inc.","22.54","99666808.5","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gfed",
"HWBK","Hawthorn Bancshares, Inc.","20.4","118940364","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hwbk",
"HBP","Huttig Building Products, Inc.","6.92","179037561.6","n/a","United States","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/hbp",
"JKHY","Jack Henry & Associates, Inc.","102.28","7920387892.08","n/a","United States","1985","Technology","EDP Services","http://www.nasdaq.com/symbol/jkhy",
"JASN","Jason Industries, Inc.","1.27","32977303.87","n/a","United States","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasn",
"JASNW","Jason Industries, Inc.","0.0471","0","n/a","United States","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasnw",
"ORLY","O&#39;Reilly Automotive, Inc.","209.58","18446536632.72","n/a","United States","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/orly",
"SKIS","Peak Resorts, Inc.","4.375","61173000","n/a","United States","2014","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/skis",
"RELV","Reliv&#39; International, Inc.","6.71","12381023.6","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/relv",
"SMBC","Southern Missouri Bancorp, Inc.","33.78","290216242.14","n/a","United States","n/a","Finance","Banks","http://www.nasdaq.com/symbol/smbc",
"UMBF","UMB Financial Corporation","70.3","3515745180","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/umbf",
