"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ACIW","ACI Worldwide, Inc.","23.02","2721074588.08","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ATAX","America First Multifamily Investors, L.P.","6.15","370555507.2","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"CDOR","Condor Hospitality Trust, Inc.","10.45","121537230.65","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdor",
"EQFN","Equitable Financial Corp.","10","34319630","n/a","United States","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn",
"GPP","Green Plains Partners LP","20.05","637853336.7","n/a","United States","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpp",
"GPRE","Green Plains, Inc.","20.35","844201312.9","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gpre",
"NRCIA","National Research Corporation","37.45","916889436.05","n/a","United States","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcia",
"NRCIB","National Research Corporation","54.11","1324776699.19","n/a","United States","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/nrcib",
"AMTD","TD Ameritrade Holding Corporation","46.805","26452880608.55","n/a","United States","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/amtd",
"CIZ","VictoryShares Developed Enhanced Volatility Wtd ETF","34.02","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ciz",
"VSDA","VictoryShares Dividend Accelerator ETF","25.9563","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vsda",
"CEZ","VictoryShares Emerging Market Volatility Wtd ETF","29.15","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cez",
"CID","VictoryShares International High Div Volatility Wtd ETF","35.7395","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cid",
"CIL","VictoryShares International Volatility Wtd ETF","39.2665","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cil",
"CFO","VictoryShares US 500 Enhanced Volatility Wtd ETF","45.17","31619000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfo",
"CFA","VictoryShares US 500 Volatility Wtd ETF","45.24","9048000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfa",
"CSF","VictoryShares US Discovery Enhanced Volatility Wtd ETF","42.14","23177000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csf",
"CDC","VictoryShares US EQ Income Enhanced Volatility Wtd ETF","44.17","28710500","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdc",
"CDL","VictoryShares US Large Cap High Div Volatility Wtd ETF","42.99","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdl",
"VSMV","VictoryShares US Multi-Factor Minimum Volatility ETF","25.322","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vsmv",
"CSB","VictoryShares US Small Cap High Div Volatility Wtd ETF","41.19","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csb",
"CSA","VictoryShares US Small Cap Volatility Wtd ETF","43.2","2213932694.4","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csa",
"WERN","Werner Enterprises, Inc.","35.6","2572924318","n/a","United States","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/wern",
"WSTC","West Corporation","23.51","1966860376.86","n/a","United States","2013","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wstc",
