"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"FCCY","1st Constitution Bancorp (NJ)","18.4","148474623.2","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"ADMA","ADMA Biologics Inc","3.2974","56722679.3656","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma",
"ADXS","Advaxis, Inc.","4.57","187670865.95","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","1.92","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"AERI","Aerie Pharmaceuticals, Inc.","50.95","1851554690.9","n/a","United States","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AGRX","Agile Therapeutics, Inc.","4.01","115513655.98","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx",
"AKER","Akers Biosciences Inc","0.9011","8020911.8695","n/a","United States","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"FOLD","Amicus Therapeutics, Inc.","14.62","2405955928.78","n/a","United States","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"ATRS","Antares Pharma, Inc.","2.99","467657883.81","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ASNA","Ascena Retail Group, Inc.","2.1","409581608.1","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/asna",
"ASFI","Asta Funding, Inc.","7.8","51665757","n/a","United States","1995","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi",
"ADP","Automatic Data Processing, Inc.","108.14","48062036605.92","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp",
"CAR","Avis Budget Group, Inc.","38.43","3176327312.55","n/a","United States","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/car",
"BCBP","BCB Bancorp, Inc. (NJ)","12.875","187745760.625","n/a","United States","2005","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bcbp",
"BBBY","Bed Bath & Beyond Inc.","22.52","3225809840","n/a","United States","1992","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/bbby",
"BELFA","Bel Fuse Inc.","22.9","275803340.6","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","27.1","326387359.4","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfb",
"BLPH","Bellerophon Therapeutics, Inc.","1.1","39061257.4","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/blph",
"BKYI","BIO-key International, Inc.","2.655","17253352.89","n/a","United States","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bkyi",
"ITEQ","BlueStar TA-BIGITech Israel Technology ETF","31.169","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iteq",
"CGIX","Cancer Genetics, Inc.","2.75","64802542.75","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cgix",
"CELG","Celgene Corporation","143.91","112588085207.52","n/a","United States","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celg",
"CELGZ","Celgene Corporation","1.55","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
"CSBR","Champions Oncology, Inc.","3.73","40977653.18","n/a","United States","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/csbr",
"PLCE","Children&#39;s Place, Inc. (The)","113.3","1998596591.2","n/a","United States","1997","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/plce",
"CIDM","Cinedigm Corp","1.5","20486167.5","n/a","United States","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/cidm",
"CTXR","Citius Pharmaceuticals, Inc.","3.35","27646873.3","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctxr",
"CTXRW","Citius Pharmaceuticals, Inc.","0.65","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctxrw",
"CSBK","Clifton Bancorp Inc.","16.47","367265122.92","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/csbk",
"CTSH","Cognizant Technology Solutions Corporation","72.05","42554364886.55","n/a","United States","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"CVLT","Commvault Systems, Inc.","60.85","2769718029.85","n/a","United States","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvlt",
"CNOB","ConnectOne Bancorp, Inc.","23.5","752359949.5","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cnob",
"CTRV","ContraVir Pharmaceuticals Inc","0.512","38762162.176","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctrv",
"CYCC","Cyclacel Pharmaceuticals, Inc.","1.92","21888858.24","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cycc",
"CYCCP","Cyclacel Pharmaceuticals, Inc.","6.5","2179274.5","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyccp",
"CTSO","Cytosorbents Corporation","5.4","151923524.4","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ctso",
"EGRX","Eagle Pharmaceuticals, Inc.","57.66","859134000","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/egrx",
"EDGE","Edge Therapeutics, Inc.","9.55","294634613.6","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/edge",
"FRBA","First Bank","12.95","194454325.1","n/a","United States","2013","n/a","n/a","http://www.nasdaq.com/symbol/frba",
"FRPT","Freshpet, Inc.","14.5","501510485","n/a","United States","2014","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/frpt",
"HOVNP","Hovnanian Enterprises Inc","6.313","31565000","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hovnp",
"IDSY","I.D. Systems, Inc.","6.25","108571362.5","n/a","United States","1999","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/idsy",
"IMNP          ","Immune Pharmaceuticals Inc.","1.14","12056042.64","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imnp",
"IMMU","Immunomedics, Inc.","11.47","1542545106.36","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/immu",
"INOD","Innodata Inc.","1.5","38816181","n/a","United States","1993","Technology","EDP Services","http://www.nasdaq.com/symbol/inod",
"IPHS","Innophos Holdings, Inc.","47.26","922806652.42","n/a","United States","2006","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/iphs",
"INSM","Insmed, Inc.","28.5","2180280381","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insm",
"IART","Integra LifeSciences Holdings Corporation","48.93","3820371659.37","n/a","United States","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/iart",
"IDXG","Interpace Diagnostics Group, Inc.","1.415","31361499.66","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/idxg",
"ISBC","Investors Bancorp, Inc.","13.46","4137770123.32","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/isbc",
"JJSF","J & J Snack Foods Corp.","128.73","2412224226.09","n/a","United States","1986","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jjsf",
"JSYN","Jensyn Acquistion Corp.","10.28","53142460","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsyn",
"JSYNR","Jensyn Acquistion Corp.","0.3798","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsynr",
"JSYNU","Jensyn Acquistion Corp.","10.86","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsynu",
"JSYNW","Jensyn Acquistion Corp.","0.2725","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsynw",
"JNP","Juniper Pharmaceuticals, Inc.","4.55","49340714.15","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jnp",
"KRNY","Kearny Financial","15.25","1259821532","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/krny",
"LBAI","Lakeland Bancorp, Inc.","19.25","911539956.25","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lbai",
"LINC","Lincoln Educational Services Corporation","2.7","66741448.5","n/a","United States","2005","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/linc",
"MGYR","Magyar Bancorp, Inc.","12.18","70896686.28","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/mgyr",
"MRLN","Marlin Business Services Corp.","28.875","361665092.25","n/a","United States","2003","Finance","Major Banks","http://www.nasdaq.com/symbol/mrln",
"MTBC","Medical Transcription Billing, Corp.","1.43","16432740.61","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mtbc",
"MTBCP","Medical Transcription Billing, Corp.","25.57","17241825.43","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mtbcp",
"MICT","Micronet Enertec Technologies, Inc.","0.9095","6802838.082","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/mict",
"MICTW","Micronet Enertec Technologies, Inc.","0.1386","0","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/mictw",
"MSEX","Middlesex Water Company","39.22","640767888.48","n/a","United States","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/msex",
"MSBF","MSB Financial Corp.","17.845","102717194.065","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/msbf",
"MYOS","MYOS RENS Technology Inc.","1.4","8182120.8","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/myos",
"NFBK","Northfield Bancorp, Inc.","16.38","800249355.36","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/nfbk",
"OPTT","Ocean Power Technologies, Inc.","1.2242","15334481.0008","n/a","United States","2007","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/optt",
"OCFC","OceanFirst Financial Corp.","26.58","865510638.66","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ocfc",
"ONS","Oncobiologics, Inc.","1.31","32326038.15","n/a","United States","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ons",
"ONSIW","Oncobiologics, Inc.","0.129","0","n/a","United States","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/onsiw",
"ONSIZ","Oncobiologics, Inc.","0.08","0","n/a","United States","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/onsiz",
"ORBC","ORBCOMM Inc.","10.11","743071786.23","n/a","United States","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/orbc",
"ORIT","Oritani Financial Corp.","16.55","764287341.2","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/orit",
"PCRX","Pacira Pharmaceuticals, Inc.","37.2","1500705660","n/a","United States","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pcrx",
"PKBK","Parke Bancorp, Inc.","20.6","158043261.8","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pkbk",
"PDVW","pdvWireless, Inc.","31.2","449837512.8","n/a","United States","2015","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/pdvw",
"PGC","Peapack-Gladstone Financial Corporation","32.21","574830096.04","n/a","United States","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/pgc",
"PAHC","Phibro Animal Health Corporation","35.425","1413054540.625","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pahc",
"PPSI","Pioneer Power Solutions, Inc.","7.2","62827524","n/a","United States","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/ppsi",
"COOL","PolarityTE, Inc.","26.28","166457125.8","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cool",
"PTCT","PTC Therapeutics, Inc.","18.52","766525131.92","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ptct",
"RLOG","Rand Logistics, Inc.","0.2891","5386843.3759","n/a","United States","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/rlog",
"RCMT","RCM Technologies, Inc.","5.46","65572956.54","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/rcmt",
"ROKA","Roka Bioscience, Inc.","1.05","5258129.1","n/a","United States","2014","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/roka",
"SCYX","SCYNEXIS, Inc.","2.31","61729005.03","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/scyx",
"SIGI","Selective Insurance Group, Inc.","52.25","3049528770.75","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/sigi",
"SSNT","SilverSun Technologies, Inc.","4.2075","18891266.8725","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ssnt",
"SITO","SITO Mobile, Ltd.","5.8","127058848.4","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/sito",
"SNGX","Soligenix, Inc.","2.255","12905680.7","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sngx",
"SNGXW","Soligenix, Inc.","0.55","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sngxw",
"SSFN","Stewardship Financial Corp","10.1257","87513549.4012","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ssfn",
