"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.7","116385920.4","n/a","United States","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","11.62","86208175.76","n/a","United States","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ASIX","AdvanSix Inc.","38.92","1186397036.72","n/a","United States","2016","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/asix",
"AWK","American Water Works","82.03","14624499447.87","n/a","United States","2008","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/awk",
"APB","Asia Pacific Fund, Inc. (The)","14.2","146885822.4","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apb",
"BGS","B&G Foods, Inc.","30.05","1998214806.65","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bgs",
"BDX","Becton, Dickinson and Company","193.06","43933692915.14","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bdx",
"BDXA","Becton, Dickinson and Company","54.57","0","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bdxa",
"DSU","Blackrock Debt Strategies Fund, Inc.","11.55","710316764.85","n/a","United States","1998","n/a","n/a","http://www.nasdaq.com/symbol/dsu",
"BKT","BlackRock Income Trust Inc. (The)","6.33","404756246.55","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bkt",
"MUA","Blackrock MuniAssets Fund, Inc.","15.14","543424062.38","n/a","United States","1993","n/a","n/a","http://www.nasdaq.com/symbol/mua",
"BTT","BlackRock Municipal Target Term Trust Inc. (The)","22.73","1602591628.83","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/btt",
"MEN","Blackrock MuniEnhanced Fund, Inc.","12.1","358692896.1","n/a","United States","1989","n/a","n/a","http://www.nasdaq.com/symbol/men",
