"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ALGT","Allegiant Travel Company","130.15","2091555271.6","n/a","United States","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"UHAL","Amerco","372.97","7313116690.36","n/a","United States","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"CACQ","Caesars Acquisition Company","20.45","2842242391.1","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cacq",
"CZR","Caesars Entertainment Corporation","12.7","1894155050.9","n/a","United States","2012","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"CFCO","CF Corporation","11.28","947520000","n/a","United States","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/cfco",
"CFCOU","CF Corporation","12.26","0","n/a","United States","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/cfcou",
"CFCOW","CF Corporation","2.2","0","n/a","United States","2016","Finance","Life Insurance","http://www.nasdaq.com/symbol/cfcow",
"ERI","Eldorado Resorts, Inc.","24.725","1895829108.075","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/eri",
"FLL","Full House Resorts, Inc.","2.86","65467753.78","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/fll",
"GPIC","Gaming Partners International Corporation","11.1","88046243.4","n/a","United States","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/gpic",
"GEC","Great Elm Capital Group, Inc. ","3.65","84680558.45","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gec",
"GTYH","GTY Technology Holdings, Inc.","9.98","688620000","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyh",
"GTYHU","GTY Technology Holdings, Inc.","10.42","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyhu",
"GTYHW","GTY Technology Holdings, Inc.","1.19","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/gtyhw",
"MCRI","Monarch Casino & Resort, Inc.","37.06","651091352.44","n/a","United States","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mcri",
"PDLI","PDL BioPharma, Inc.","3.165","487665076.845","n/a","United States","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/pdli",
"PNK","Pinnacle Entertainment, Inc.","20.64","1192530613.44","n/a","United States","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/pnk",
"RRR","Red Rock Resorts, Inc.","23.51","2729060995.09","n/a","United States","2016","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/rrr",
"SGMS","Scientific Games Corp","42.975","3843027384.975","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/sgms",
"WYNN","Wynn Resorts, Limited","144.93","14864896611.99","n/a","United States","2002","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/wynn",
