"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"TURN","180 Degree Capital Corp.","1.66","51661792.92","n/a","United States","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","9.725","630947633.15","n/a","United States","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"ACET","Aceto Corporation","11.17","336322187.89","n/a","United States","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"ACOR","Acorda Therapeutics, Inc.","23.45","1093958891.55","n/a","United States","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"SQZZ","Active Alts Contrarian ETF","24.32","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sqzz",
"AGFS","AgroFresh Solutions, Inc.","7.1","357397705.5","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.58","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"AKTX","Akari Therapeutics Plc","8.45","99515083.85","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aktx",
"ABDC","Alcentra Capital Corp.","10.85","154560637","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ALJJ","ALJ Regional Holdings, Inc.","3.32","119657142.56","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj",
"AMMA","Alliance MMA, Inc.","1.13","11894743.86","n/a","United States","2016","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/amma",
"AABA","Altaba Inc.","67.28","59668913601.52","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/aaba",
"AMBC","Ambac Financial Group, Inc.","17.81","805923266.46","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","8.45","0","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMCX","AMC Networks Inc.","59.06","3754157581.82","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"AFSI","AmTrust Financial Services, Inc.","13.28","2600294689.44","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AVXL","Anavex Life Sciences Corp.","4.13","174170731.7","n/a","United States","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/avxl",
"ANDA","Andina Acquisition Corp. II","10.16","53949600","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. II","0.5499","0","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","10.95","0","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","0.35","0","n/a","United States","2015","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"ANGO","AngioDynamics, Inc.","17.86","653802555.96","n/a","United States","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"AINV","Apollo Investment Corporation","5.9","1296198458.6","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"APDN","Applied DNA Sciences Inc","2.5","68442642.5","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdn",
"APDNW","Applied DNA Sciences Inc","0.65","0","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdnw",
"ARCC","Ares Capital Corporation","15.845","6754710269.425","n/a","United States","2004","n/a","n/a","http://www.nasdaq.com/symbol/arcc",
"ARKR","Ark Restaurants Corp.","23.55","80674787.55","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arkr",
"ARTX","Arotech Corporation","4.05","107031723.3","n/a","United States","1994","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"AROW","Arrow Financial Corporation","32.85","457105910.4","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/arow",
"ATRO","Astronics Corporation","29.115","835639630.56","n/a","United States","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atro",
"ATNX","Athenex, Inc.","16.89","963804356.01","n/a","United States","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnx",
"ATAC","Atlantic Acquisition Corp.","9.8","0","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/atac",
"ATACR","Atlantic Acquisition Corp.","0.445","0","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/atacr",
"ATACU","Atlantic Acquisition Corp.","10.2","0","n/a","United States","2017","Finance","Business Services","http://www.nasdaq.com/symbol/atacu",
"AAPC","Atlantic Alliance Partnership Corp.","11.4999","42402810.7767","n/a","United States","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aapc",
"AAWW","Atlas Air Worldwide Holdings","67.6","1707964564.8","n/a","United States","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"ATXI","Avenue Therapeutics, Inc.","5.53","55526774.24","n/a","United States","2017","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atxi",
"AHPA","Avista Healthcare Public Acquisition Corp.","10","387500000","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/ahpa",
"AHPAU","Avista Healthcare Public Acquisition Corp.","10.32","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/ahpau",
"AHPAW","Avista Healthcare Public Acquisition Corp.","0.33","0","n/a","United States","2016","Finance","Business Services","http://www.nasdaq.com/symbol/ahpaw",
"AXAR","Axar Acquisition Corp.","10.1127","86019748.7097","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/axar",
"AXARU","Axar Acquisition Corp.","9.99","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/axaru",
"AXARW","Axar Acquisition Corp.","0.0235","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/axarw",
"AXSM","Axsome Therapeutics, Inc.","5.55","131040866.85","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axsm",
"AZRX","AzurRx BioPharma, Inc.","4.53","50882980.38","n/a","United States","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azrx",
