"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"SHLM","A. Schulman, Inc.","34.1","1004746952","n/a","United States","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AGYS","Agilysys, Inc.","10.62","248419450.44","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"ATSG","Air Transport Services Group, Inc","25.14","1486355035.68","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"ATHX","Athersys, Inc.","2.545","289904281.405","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/athx",
"ATRC","AtriCure, Inc.","21.99","755008244.37","n/a","United States","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrc",
"BOBE","Bob Evans Farms, Inc.","77.27","1541352829.21","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bobe",
"BBRG","Bravo Brio Restaurant Group, Inc.","2.4","36471588","n/a","United States","2010","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bbrg",
"CFBK","Central Federal Corporation","2.55","41535871.35","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbk",
"GTLS","Chart Industries, Inc.","38.3","1177907805.9","n/a","United States","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gtls",
"CINF","Cincinnati Financial Corporation","75.87","12441346357.14","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cinf",
"CTAS","Cintas Corporation","136.67","14765797142.61","n/a","United States","1983","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ctas",
"CIVB","Civista Bancshares, Inc. ","20.96","213179527.84","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/civb",
"CIVBP","Civista Bancshares, Inc. ","66.5525","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/civbp",
"CVGI","Commercial Vehicle Group, Inc.","6.4","197307417.6","n/a","United States","2004","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/cvgi",
"DHIL","Diamond Hill Investment Group, Inc.","203.115","701493603.855","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/dhil",
"EFBI","Eagle Financial Bancorp, Inc.","15.57","25111420.56","n/a","United States","2017","Finance","Savings Institutions","http://www.nasdaq.com/symbol/efbi",
"EFOI","Energy Focus, Inc.","2.7","32008977.9","n/a","United States","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"FMAO","Farmers & Merchants Bancorp, Inc.","35.54","328430826.4","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fmao",
"FMNB","Farmers National Banc Corp.","14.6","395342610.6","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fmnb",
"FITB","Fifth Third Bancorp","27.315","20123666183.025","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","30.01","540180000","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitbi",
"FDEF","First Defiance Financial Corp.","50.15","509071847.6","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","25.05","1556920475.7","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbc",
"FFBCW","First Financial Bancorp.","12.73","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbcw",
"HBAN","Huntington Bancshares Incorporated","13.38","14584420355.22","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hban",
"HBANN","Huntington Bancshares Incorporated","25.8381","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbann",
"HBANO","Huntington Bancshares Incorporated","27.69","22060320542.13","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbano",
"HBANP","Huntington Bancshares Incorporated","1467","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hbanp",
"LANC","Lancaster Colony Corporation","117.42","3223061580","n/a","United States","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/lanc",
"LCNB","LCNB Corporation","20.9","209169749.8","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lcnb",
"LECO","Lincoln Electric Holdings, Inc.","92.83","6118161291.48","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/leco",
"LYTS","LSI Industries Inc.","6.57","167584051.62","n/a","United States","1985","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/lyts",
"MEDP","Medpace Holdings, Inc.","31.3","1173338342.4","n/a","United States","2016","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/medp",
"VIVO","Meridian Bioscience Inc.","14.2","599282841.4","n/a","United States","1986","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vivo",
"MBCN","Middlefield Banc Corp.","45.675","146700335.25","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mbcn",
"LABL","Multi-Color Corporation","82.25","1401988756","n/a","United States","1987","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/labl",
"NDSN","Nordson Corporation","117.22","6762689413.26","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ndsn",
"OVBC","Ohio Valley Banc Corp.","34.485","161496944.895","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ovbc",
"ZEUS","Olympic Steel, Inc.","19.64","215405470.88","n/a","United States","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/zeus",
"PKOH","Park-Ohio Holdings Corp.","43.55","544718870.8","n/a","United States","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/pkoh",
"PEBO","Peoples Bancorp Inc.","32.59","595614677.05","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pebo",
"PLPC","Preformed Line Products Company","61.56","314939790.36","n/a","United States","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/plpc",
"RCKY","Rocky Brands, Inc.","13.75","102382651.25","n/a","United States","1993","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/rcky",
"SBFG","SB Financial Group, Inc.","16.95","81328930.65","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfg",
"SBFGP","SB Financial Group, Inc.","14.93","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbfgp",
"SHLO","Shiloh Industries, Inc.","9.5","219676024","n/a","United States","1993","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/shlo",
"STFC","State Auto Financial Corporation","24.2","1018082263","n/a","United States","1991","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/stfc",
"TFSL","TFS Financial Corporation","15.58","4384926732.5","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/tfsl",
"ANDE","The Andersons, Inc.","34","965600000","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/ande",
"GT","The Goodyear Tire & Rubber Company","32.57","8199942731.9","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/gt",
"TA","TravelCenters of America LLC","4.1","162179854.2","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/ta",
"TANNI","TravelCenters of America LLC","24.78","0","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tanni",
"TANNL","TravelCenters of America LLC","23.06","0","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tannl",
"TANNZ","TravelCenters of America LLC","23.17","0","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/tannz",
"UBCP","United Bancorp, Inc.","11.85","64349102.4","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ubcp",
"UBOH","United Bancshares, Inc.","22","71875078","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/uboh",
