"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BKSC","Bank of South Carolina Corp.","18.55","92379166.95","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bksc",
"BNFT","Benefitfocus, Inc.","31.35","977486792.7","n/a","United States","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bnft",
"BLKB","Blackbaud, Inc.","84.95","4082787301.85","n/a","United States","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blkb",
"CARO","Carolina Financial Corporation","34.65","561231316.8","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caro",
"DENN","Denny&#39;s Corporation","12.11","813490097.7","n/a","United States","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/denn",
"FCCO","First Community Corporation","20.35","136286595.5","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcco",
"OFED","Oconee Federal Financial Corp.","28.65","164913898.05","n/a","United States","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ofed",
"SCSC","ScanSource, Inc.","41.2","1047835480","n/a","United States","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/scsc",
"SSB","South State Corporation","85","2487400645","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ssb",
"SFST","Southern First Bancshares, Inc.","36","263310516","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sfst",
"WRLD","World Acceptance Corporation","79.8","703736250","n/a","United States","1991","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wrld",
