"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABEO","Abeona Therapeutics Inc.","14.975","603301703.525","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","10.89","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"AXAS","Abraxas Petroleum Corporation","1.84","305163817.84","n/a","United States","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACER","Acer Therapeutics Inc.","9.92","7335284.48","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acer",
"ACERW","Acer Therapeutics Inc.","0.092","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acerw",
"AGLE","Aeglea BioTherapeutics, Inc.","4.83","79464415.8","n/a","United States","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agle",
"ABTX","Allegiance Bancshares, Inc.","36","473813640","n/a","United States","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx",
"AAL","American Airlines Group, Inc.","47.06","22918653657.9","n/a","United States","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AETI","American Electric Technologies, Inc.","1.5472","13329544.1968","n/a","United States","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"ANAT","American National Insurance Company","117.615","3167593536.66","n/a","United States","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"AAOI","Applied Optoelectronics, Inc.","63.84","1232316926.4","n/a","United States","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"AREX","Approach Resources Inc.","2.665","230527731.395","n/a","United States","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex",
"APLP","Archrock Partners, L.P.","14.25","934523792.25","n/a","United States","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aplp",
"ASTC","Astrotech Corporation","0.73","16448757.12","n/a","United States","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ASUR","Asure Software Inc","10.79","134024704.84","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"ATRI","Atrion Corporation","651.3","1206104694.6","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atri",
"BV","Bazaarvoice, Inc.","4.825","412974263.825","n/a","United States","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bv",
