"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AAP","Advance Auto Parts Inc","95.59","7060524786.92","n/a","United States","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"ALB","Albemarle Corporation","134.29","14835383583.15","n/a","United States","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alb",
"AOI","Alliance One International, Inc.","10.55","94687927.45","n/a","United States","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/aoi",
"MO","Altria Group","62.49","119891291948.58","n/a","United States","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/mo",
"APLE","Apple Hospitality REIT, Inc.","18.65","4159982091","n/a","United States","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aple",
"AIC","Arlington Asset Investment Corp","24.2885","0","n/a","United States","2015","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aic",
"AI^B","Arlington Asset Investment Corp","25.8","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ai^b",
"AIW","Arlington Asset Investment Corp","24.8163","0","n/a","United States","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aiw",
"AI","Arlington Asset Investment Corp","13.38","347217261.84","n/a","United States","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ai",
"AHH","Armada Hoffler Properties, Inc.","13.61","611527800.01","n/a","United States","2013","Finance","Real Estate","http://www.nasdaq.com/symbol/ahh",
"AVB","AvalonBay Communities, Inc.","178.52","24650605544.68","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/avb",
"BAH","Booz Allen Hamilton Holding Corporation","36.86","5480201230.3","n/a","United States","2010","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/bah",
"BCO","Brink&#39;s Company (The)","81.45","4111682255.55","n/a","United States","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"CACI","CACI International, Inc.","136.55","3340244452.25","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"COF","Capital One Financial Corporation","81.94","39633775413.24","n/a","United States","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/cof",
"COF^C","Capital One Financial Corporation","26.47","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cof^c",
"COF^D","Capital One Financial Corporation","27.1","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^d",
"COF^F","Capital One Financial Corporation","26.99","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^f",
"COF^G","Capital One Financial Corporation","25.18","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^g",
"COF^P","Capital One Financial Corporation","25.35","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^p",
"COF.WS","Capital One Financial Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof.ws",
"COF^H","Capital One Financial Corporation","26.65","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^h",
"KMX","CarMax Inc","74.19","13595123864.1","n/a","United States","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kmx",
"CFX","Colfax Corporation","42.74","5258562572.08","n/a","United States","2008","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/cfx",
"DM","Dominion Energy Midstream Partners, LP","33.75","3348744390","n/a","United States","2014","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/dm",
"D","Dominion Energy, Inc.","77.04","49504821819.12","n/a","United States","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/d",
"DCUD","Dominion Energy, Inc.","50.55","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcud",
"DRUA","Dominion Energy, Inc.","25.66","0","n/a","United States","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/drua",
"DX","Dynex Capital, Inc.","7.22","355471155.04","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/dx",
"DX^A","Dynex Capital, Inc.","25.695","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dx^a",
