"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ACHV","Achieve Life Sciences, Inc. ","2.29","25068231.54","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/achv",
"ALDR","Alder BioPharmaceuticals, Inc.","10.85","734692918.05","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ALPN","Alpine Immune Sciences, Inc.","11.7","45794537.1","n/a","United States","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alpn",
"AMZN","Amazon.com, Inc.","954.63","458584698313.71","n/a","United States","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"ANCB","Anchor Bancorp","25.255","63009709.7","n/a","United States","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"APTI","Apptio, Inc.","17.42","696027719.14","n/a","United States","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/apti",
"APVO","Aptevo Therapeutics Inc.","1.96","41981937.76","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apvo",
"ATOS","Atossa Genetics Inc.","0.4879","5708954.4925","n/a","United States","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atos",
"BANR","Banner Corporation","58.63","1951231669.53","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banr",
"BBSI","Barrett Business Services, Inc.","54.33","396356800.14","n/a","United States","1993","Technology","Professional Services","http://www.nasdaq.com/symbol/bbsi",
"BLFS","BioLife Solutions, Inc.","5.39","71299167.94","n/a","United States","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/blfs",
"BCOR","Blucora, Inc.","24.95","1121035860.15","n/a","United States","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/bcor",
"BSQR","BSQUARE Corporation","4.9245","62073741.0825","n/a","United States","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"CASC","Cascadian Therapeutics, Inc.","3.94","199179592.24","n/a","United States","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/casc",
"CLIR","ClearSign Combustion Corporation","3.05","47591751.65","n/a","United States","2012","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clir",
"CLIRW","ClearSign Combustion Corporation","0.6","0","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clirw",
"COLB","Columbia Banking System, Inc.","40.03","2336990269.13","n/a","United States","1992","Finance","Major Banks","http://www.nasdaq.com/symbol/colb",
"COST","Costco Wholesale Corporation","161.29","70740719808.6","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/cost",
"CRAY","Cray Inc","18.6","750890835","n/a","United States","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/cray",
"CTIC","CTI BioPharma Corp.","3.34","143561232.7","n/a","United States","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctic",
"DAIO","Data I/O Corporation","9.7","79273162.7","n/a","United States","1981","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"EXPE","Expedia, Inc.","145.78","22105581652.86","n/a","United States","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","58.19","10517146896.74","n/a","United States","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"FFIV","F5 Networks, Inc.","119.73","7608433579.89","n/a","United States","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FFNW","First Financial Northwest, Inc.","16.6","183258439","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffnw",
"FNWB","First Northwest Bancorp","16.3","193797334.1","n/a","United States","2015","Finance","Banks","http://www.nasdaq.com/symbol/fnwb",
"FSBW","FS Bancorp, Inc.","49.7103","182680480.8906","n/a","United States","2012","Finance","Banks","http://www.nasdaq.com/symbol/fsbw",
"HFWA","Heritage Financial Corporation","28.3","847033999","n/a","United States","n/a","Finance","Banks","http://www.nasdaq.com/symbol/hfwa",
"HMST","HomeStreet, Inc.","25.75","692263746.75","n/a","United States","2012","Finance","Major Banks","http://www.nasdaq.com/symbol/hmst",
"IMDZ","Immune Design Corp.","10.5","269007186","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imdz",
"PI","Impinj, Inc.","41.26","860685456.7","n/a","United States","2016","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/pi",
"ITRI","Itron, Inc.","76.65","2966407122","n/a","United States","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/itri",
"JUNO","Juno Therapeutics, Inc.","45.12","4797122710.08","n/a","United States","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/juno",
"KTEC","Key Technology, Inc.","16.45","106709965.6","n/a","United States","1993","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ktec",
"KTCC","Key Tronic Corporation","6.9","74241792","n/a","United States","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/ktcc",
"MCHX","Marchex, Inc.","3.13","135662384.95","n/a","United States","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mchx",
"MSFT","Microsoft Corporation","74.41","573123974477.39","n/a","United States","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/msft",
"MVIS","Microvision, Inc.","2.68","206553471.88","n/a","United States","1996","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mvis",
"NSTG","NanoString Technologies, Inc.","15.64","394199990.92","n/a","United States","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/nstg",
"NWPX","Northwest Pipe Company","17.97","172866997.35","n/a","United States","1995","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/nwpx",
"OMER","Omeros Corporation","20.89","998622384.72","n/a","United States","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/omer",
"ONVI","Onvia, Inc.","4.25","31028812.25","n/a","United States","2000","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/onvi",
"PCAR","PACCAR Inc.","71.46","25109363332.26","n/a","United States","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/pcar",
"FRSH","Papa Murphy&#39;s Holdings, Inc.","5.74","97287082.06","n/a","United States","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frsh",
"PCO","Pendrell Corporation","7.1","175166883.2","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/pco",
"PZRX","PhaseRx, Inc.","0.95","11105812.55","n/a","United States","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pzrx",
"POPE","Pope Resources","70.3412","307103981.5628","n/a","United States","n/a","Consumer Non-Durables","Environmental Services","http://www.nasdaq.com/symbol/pope",
"PCH","Potlatch Corporation","50.1","2034604336.5","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pch",
"RNWK","RealNetworks, Inc.","4.73","175965303.91","n/a","United States","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/rnwk",
"RDFN","Redfin Corporation","28","2277132984","n/a","United States","2017","Finance","Real Estate","http://www.nasdaq.com/symbol/rdfn",
"RVSB","Riverview Bancorp Inc","8.19","184499414.19","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/rvsb",
"SGEN","Seattle Genetics, Inc.","52.47","7504637708.7","n/a","United States","2001","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/sgen",
"SFBC","Sound Financial Bancorp, Inc.","34.59","86822456.55","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/sfbc",
"SBUX","Starbucks Corporation","55.09","79544451000","n/a","United States","1992","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sbux",
"TSBK","Timberland Bancorp, Inc.","29.7","218558646.9","n/a","United States","n/a","Finance","Banks","http://www.nasdaq.com/symbol/tsbk",
"TMUS","T-Mobile US, Inc.","64.07","53245282072.11","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tmus",
"TMUSP","T-Mobile US, Inc.","103.65","0","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tmusp",
"TRUP","Trupanion, Inc.","23.65","709394591.95","n/a","United States","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/trup",
"WAFD","Washington Federal, Inc.","32.85","2904793114.5","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wafd",
"WAFDW","Washington Federal, Inc.","16","0","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wafdw",
"WMIH","WMIH Corp.","1.1","227385545.2","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wmih",
"Z","Zillow Group, Inc.","39.1114","7318849362.3946","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","38.94","7286775573.66","n/a","United States","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/zg",
"ZUMZ","Zumiez Inc.","16.45","415042876.5","n/a","United States","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/zumz",
